type,basisOfRecord,institutionCode,collectionCode,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,eventDate,year,month,day,country,stateProvince,municipality,locality,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,identifiedBy,dateIdentified,typeStatus,scientifname,kingdom,phylum,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,modified,occurrenceID_GBIF,rightsHolder
Collection,PreservedSpecimen,RB,RB,1154987,#,2135,L.R. Pedro de Moraes,,NA,NA,NA,Brasil,São Paulo,,"Parque Estadual de Carlos Botelho, São Miguel Arcanjo.",NA,NA,-24.1347222,-47.995,V.C. Souza,Oct-11,,Cinnamodendron dinisii Schwacke,Plantae,NA,CANELLACEAE,Cinnamodendron,dinisii,,specie,Schwacke,18/10/2017,urn:catalog:RB:1154987,RB
Collection,PreservedSpecimen,RB,RB,1119347,"Árvore no; 7359; tronco não liso, botões",521,A.R. Duarte,,NA,NA,NA,Brasil,São Paulo,Sete Barras,Parcela Permanente - Parque Estadual de Carlos Botelho,NA,NA,-24.1913889,-47.9247223,,,,Eugenia oblongata O.Berg,Plantae,NA,MYRTACEAE,Eugenia,oblongata,,specie,O.Berg,18/10/2017,urn:catalog:RB:1119347,RB
Collection,PreservedSpecimen,RB,RB,1119550,Árvore ca. 6m. Botões ferrugíneos,804,F.F. Mazine,25/01/2003,2003,1,25,Brasil,São Paulo,Sete Barras,Parque Estadual de Carlos Botelho,NA,NA,NA,NA,,,,Eugenia oblongata O.Berg,Plantae,NA,MYRTACEAE,Eugenia,oblongata,,specie,O.Berg,24/05/2016,urn:catalog:RB:1119550,RB
Collection,PreservedSpecimen,RB,RB,1122256,"Árvore, 7m, frutos marrons, flores alvas",1341,G.D. Colletta,13/04/2014,2014,4,13,Brasil,São Paulo,São Miguel Arcanjo,P.E. Carlos Botelho. Trilha da represa,NA,NA,NA,NA,G.D. Colletta; M.A.P. Ferreira,2014,,Inga sessilis (Vell.) Mart.,Plantae,NA,LEGUMINOSAE,Inga,sessilis,,specie,(Vell.) Mart.,31/05/2016,urn:catalog:RB:1122256,RB
Collection,PreservedSpecimen,RB,RB,1335008,#,2436,P.L.R. de Moraes,,NA,NA,NA,Brasil,São Paulo,Sete Barras,"Parque Estadual Carlos Botelho, Raizão",NA,NA,-21.1830556,-47.9266667,E.F. Guimarães,2017,,Piper sebastianum Yunck.,Plantae,NA,PIPERACEAE,Piper,sebastianum,,specie,Yunck.,18/10/2017,urn:catalog:RB:1335008,RB
Collection,PreservedSpecimen,RB,RB,420175,"Árvore de mais ou menos 5 m de altura, frutos arroxeados, tronco cinza sem escamas.",819,Pedro Luís R. de Moraes,28/03/1993,1993,3,28,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho-SP-Fazenda Intervales-Núcleo Saibadela-Sete Barras. Beira do Rio Saibadela.,NA,NA,NA,NA,M.C. Souza,31/05/2007,,Marlierea obscura O.Berg,Plantae,NA,MYRTACEAE,Marlierea,obscura,,specie,O.Berg,08/07/2014,urn:catalog:RB:420175,RB
Collection,PreservedSpecimen,RB,RB,311037,"Arvoreta ca. 12 m. alt., frutos verdes, tronco avermelhado em placas.",941,P. L. R. Morais,23/04/1994,1994,4,23,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,M.Sobral,2011,,Marlierea reitzii D.Legrand,Plantae,NA,MYRTACEAE,Marlierea,reitzii,,specie,D.Legrand,22/07/2014,urn:catalog:RB:311037,RB
Collection,PreservedSpecimen,RB,RB,390223,"Sub arbusto, ca 2m, flores em capítulos de cor branco-esverdeados, pilosas",4863,D.M.Vital,21/05/1977,1977,5,21,Brasil,São Paulo,São Miguel Arcanjo,"Reserva Florestal Carlos Botelho, ca 55 km S de Itapetininga.",NA,NA,NA,NA,R.L.Esteves,15/02/1999,,Baccharis anomala DC.,Plantae,NA,ASTERACEAE,Baccharis,anomala,,specie,DC.,08/07/2014,urn:catalog:RB:390223,RB
Collection,PreservedSpecimen,RB,RB,616058,"Common in primary Atlantic forest. Culms 7-8 cm diam., 8-10 m tall, erect at base, arching over and scandent above. Clumps fairly diffuse, not well defined. Branching begins with the development of one erect, robust primary branch. Plants throny. All vegetative. Culms hollow but thick-walled.",648,L. Clark,28/01/1990,1990,1,28,Brasil,São Paulo,,"SP-139, Km 63, Serra de Paranapiacaba, Reserva Florestal Carlos Botelho, past Rio Bonito.",NA,NA,-24.0666667,-47.9833333,X. Londoño,03/03/1992,,Guadua tagoara (Nees) Kunth,Plantae,NA,POACEAE,Guadua,tagoara,,specie,(Nees) Kunth,19/10/2017,urn:catalog:RB:616058,RB
Collection,PreservedSpecimen,RB,RB,167641,Árvore ca. de 8 m de altura.,41,P.L.R. de Moraes,04/04/1990,1990,4,4,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,J.R.V. Iganci,19/08/2006,,Abarema langsdorffii (Benth.) Barneby & J.W.Grimes,Plantae,NA,LEGUMINOSAE,Abarema,langsdorffii,,specie,(Benth.) Barneby & J.W.Grimes,08/07/2014,urn:catalog:RB:167641,RB
