source,loc.correct,country_code,NAME_0,NAME_1,NAME_2,NAME_3
gadm,argentina_chaco_presidencia plaza,AR,Argentina,Chaco,Presidencia de la Plaza,NA
gadm,argentina_chaco_primero mayo,AR,Argentina,Chaco,Primero de Mayo,NA
gadm,argentina_chaco_quitilipi,AR,Argentina,Chaco,Quitilipi,NA
gadm,argentina_chaco_san fernando,AR,Argentina,Chaco,San Fernando,NA
gadm,argentina_chaco_san lorenzo,AR,Argentina,Chaco,San Lorenzo,NA
gadm,argentina_chaco_sargento cabral,AR,Argentina,Chaco,Sargento Cabral,NA
gadm,argentina_chaco_tapenaga,AR,Argentina,Chaco,Tapenagá,NA
gadm,argentina_chaco_veinticinco mayo,AR,Argentina,Chaco,Veinticinco de Mayo,NA
gadm,argentina_chubut,AR,Argentina,Chubut,NA,NA
gadm,argentina_chubut_biedma,AR,Argentina,Chubut,Biedma,NA
gadm,argentina_chubut_cushamen,AR,Argentina,Chubut,Cushamen,NA
gadm,argentina_chubut_escalante,AR,Argentina,Chubut,Escalante,NA
gadm,argentina_chubut_florentino ameghino,AR,Argentina,Chubut,Florentino Ameghino,NA
gadm,argentina_chubut_futaleufu,AR,Argentina,Chubut,Futaleufú,NA
gadm,argentina_chubut_gaiman,AR,Argentina,Chubut,Gaiman,NA
gadm,argentina_chubut_gastre,AR,Argentina,Chubut,Gastre,NA
gadm,argentina_chubut_languineo,AR,Argentina,Chubut,Languiñeo,NA
gadm,argentina_chubut_martires,AR,Argentina,Chubut,Mártires,NA
gadm,argentina_chubut_paso indios,AR,Argentina,Chubut,Paso de Indios,NA
gadm,argentina_chubut_rawson,AR,Argentina,Chubut,Rawson,NA
gadm,argentina_chubut_rio senguer,AR,Argentina,Chubut,Rió Senguer,NA
gadm,argentina_chubut_sarmiento,AR,Argentina,Chubut,Sarmiento,NA
gadm,argentina_chubut_tehuelches,AR,Argentina,Chubut,Tehuelches,NA
gadm,argentina_chubut_telsen,AR,Argentina,Chubut,Telsen,NA
gadm,argentina_ciudad buenos aires,AR,Argentina,Ciudad de Buenos Aires,NA,NA
gadm,argentina_ciudad buenos aires_distrito federal,AR,Argentina,Ciudad de Buenos Aires,Distrito Federal,NA
gadm,argentina_cordoba,AR,Argentina,Córdoba,NA,NA
