collection.string,collectioncode.gbif,institutioncode.gbif,index.herbariorum.or.working.code,organization,col.OBS
HERB_MICH,HERB,MICH,MICH,University of Michigan,NA
University of Michigan_MICH,University of Michigan,MICH,MICH,University of Michigan,NA
MICH_MICH,MICH,MICH,MICH,University of Michigan,NA
Angiosperms_MICH,Angiosperms,MICH,MICH,University of Michigan,NA
Pteridophytes_MICH,Pteridophytes,MICH,MICH,University of Michigan,NA
Gymnosperms_MICH,Gymnosperms,MICH,MICH,University of Michigan,NA
MICH_UMICH,MICH,UMICH,MICH,University of Michigan,NA
MICHw_MICHw,MICHw,MICHw,MICHw,"North University Building, University of Michigan",xylarium|not in IH
MICOCL_MICOCL,MICOCL,MICOCL,MICOCL,ONG Micófilos,NA
MICODIF_MICODIF,MICODIF,MICODIF,MICODIF,Universidad Nacional de San Luis,NA
MID_MID,MID,MID,MID,Middlebury College,NA
MIE_MIE,MIE,MIE,MIE,Mie Prefectural Museum,NA
MII_MII,MII,MII,MII,Museum of Irish Industry,NA
MIL_MIL,MIL,MIL,MIL,Milwaukee Public Museum,NA
MIL_Milwaukee Public Museum (MPM),MIL,Milwaukee Public Museum (MPM),MIL,Milwaukee Public Museum,NA
MIL_MPM,MIL,MPM,MIL,Milwaukee Public Museum,NA
MIM_MIM,MIM,MIM,MIM,Minusinsk Museum of Local Studies,NA
MIMARU_MIMARU,MIMARU,MIMARU,MIMARU,Maasai Mara University,NA
MIMB_MIMB,MIMB,MIMB,MIMB,"A.V. Zhirmunsky National Scientific Center of Marine Biology Far Eastern Branch, Russian Academy of Sciences (NSCMB FEB RAS)",NA
MIN_MIN,MIN,MIN,MIN,University of Minnesota,NA
Plants_MIN,Plants,MIN,MIN,University of Minnesota,NA
MINA_MINA,MINA,MINA,MINA,Museo Naturalistico Francesco Minà Palumbo,NA
MIPV_MIPV,MIPV,MIPV,MIPV,Università degli Studi di Milano,NA
MIR_MIR,MIR,MIR,MIR,Shahid Bahonar University of Kerman,NA
MIRE_MIRE,MIRE,MIRE,MIRE,Papanin Institute for Biology of Inland Waters Russian Academy of Sciences,NA
MIRR_FEMACT,MIRR,FEMACT,MIRR,Museu Integrado de Roraima,NA
MIRR_MIRR,MIRR,MIRR,MIRR,Museu Integrado de Roraima,NA
MISR_MISR,MISR,MISR,MISR,Macaulay Land Use Research Institute,NA
MISS_MISS,MISS,MISS,MISS,University of Mississippi,NA
MISS Vascular Plants_MISS,MISS Vascular Plants,MISS,MISS,University of Mississippi,NA
MISSA_MISSA,MISSA,MISSA,MISSA,Mississippi State University,NA
MISU_MISU,MISU,MISU,MISU,Minot State University,NA
MJ_MJ,MJ,MJ,MJ,"Muzeum Vysociny Jihlava, p.o.",NA
Johannes Gutenberg-Universitat_MJG,Johannes Gutenberg-Universitat,MJG,MJG,Johannes Gutenberg-Universität,NA
Johannes Gutenberg-Universität_MJG,Johannes Gutenberg-Universität,MJG,MJG,Johannes Gutenberg-Universität,NA
MJG_MJG,MJG,MJG,MJG,Johannes Gutenberg-Universität,NA
MJS_MJS,MJS,MJS,MJS,Xiaolongshan Forestry Experiment Bureau,NA
MJSD_MJSD,MJSD,MJSD,MJSD,Muséum-Jardin des Sciences,NA
MKMEL_MKMEL,MKMEL,MKMEL,MKMEL,Herbarium Melovskiorum,NA
MKNDC_MKNDC,MKNDC,MKNDC,MKNDC,Institute of Biology,NA
MKNH_MKNH,MKNH,MKNH,MKNH,Institute of Biology,NA
MKUBK_MKUBK,MKUBK,MKUBK,MKUBK,Centre for Implementation and Research of Plant Health Clinic,NA
MLA_MLA,MLA,MLA,MLA,University of Minnesota Landscape Arboretum,NA
MLGU_MLGU,MLGU,MLGU,MLGU,Institut National pour l'Etude et la Recherche  Agronomiques,NA
MLLS_MLLS,MLLS,MLLS,MLLS,Musée d'Archéologie,NA
MLS_MLS,MLS,MLS,MLS,Lathallan Preparatory School,NA
MLY_MLY,MLY,MLY,MLY,Arborétum Mlynany,NA
MMGMK_MMGMK,MMGMK,MMGMK,MMGMK,Magyar Mez?gazdasági Múzeum és Könyvtár (The Museum and Library of Hungarian Agriculture),NA
MMH_MMH,MMH,MMH,MMH,Museums of Montbéliard,NA
Floraine_Floraine,Floraine,Floraine,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
Angiospermae_MMHNSR,Angiospermae,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH
Angiospermas_MMHNSR,Angiospermas,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH
Farmacognosia_MMHNSR,Farmacognosia,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH
FloraAdventicia_MMHNSR,FloraAdventicia,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraApícola_MMHNSR,FloraApícola,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraBuenosAires_MMHNSR,FloraBuenosAires,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraCatamarca_MMHNSR,FloraCatamarca,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraChile_MMHNSR,FloraChile,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraCórdoba_MMHNSR,FloraCórdoba,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraCultivada_MMHNSR,FloraCultivada,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraEntreRíos_MMHNSR,FloraEntreRíos,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraEstadosUnidos_MMHNSR,FloraEstadosUnidos,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraJujuy_MMHNSR,FloraJujuy,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraLaRioja_MMHNSR,FloraLaRioja,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraMendocina_MMHNSR,FloraMendocina,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraNativa_MMHNSR,FloraNativa,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraNeuquén_MMHNSR,FloraNeuquén,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraNoroesteArgentino_MMHNSR,FloraNoroesteArgentino,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraRegional_MMHNSR,FloraRegional,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraRíoNegro_MMHNSR,FloraRíoNegro,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraSanJuan_MMHNSR,FloraSanJuan,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraSanLuis_MMHNSR,FloraSanLuis,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraSantiagodelEstero_MMHNSR,FloraSantiagodelEstero,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraTierradelFuego_MMHNSR,FloraTierradelFuego,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraTucumán_MMHNSR,FloraTucumán,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FrutosySemillas_MMHNSR,FrutosySemillas,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH
Patología_MMHNSR,Patología,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH
Semillas_MMHNSR,Semillas,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH
MMHNSR_MMHNSR,MMHNSR,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH
FloraArgentina_MMHNSR,FloraArgentina,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraChaco_MMHNSR,FloraChaco,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraChubut_MMHNSR,FloraChubut,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraItalia_MMHNSR,FloraItalia,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraLaPampa_MMHNSR,FloraLaPampa,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraSalta_MMHNSR,FloraSalta,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
FloraSantaCruz_MMHNSR,FloraSantaCruz,MMHNSR,MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),not in IH (flora)
MMI_MMI,MMI,MMI,MMI,"Regionalni muzeum v Mikulove, prispevkova organizace",NA
MMMN_MMMN,MMMN,MMMN,MMMN,The Manitoba Museum,NA
MMNS_MMNS,MMNS,MMNS,MMNS,Mississippi Museum of Natural Science,NA
MMPEAAH_MMP,MMPEAAH,MMP,MMPEAAH,Museo Municipal de Ciencias Naturales 'Lorenzo Scaglia',not in IH
MMPEAAH_MMPEAAH,MMPEAAH,MMPEAAH,MMPEAAH,Museo Municipal de Ciencias Naturales 'Lorenzo Scaglia',not in IH
MMTT_MMTT,MMTT,MMTT,MMTT,Department of Environment Islamic Republic of  Iran,NA
MMUIWV_MMUIWV,MMUIWV,MMUIWV,MMUIWV,Maturango Museum of the Indian Wells Valley,NA
MN_MN,MN,MN,MN,"Liceo Classico ""Virgilio""",NA
MN-NHP_NTSRV,MN-NHP,NTSRV,MN-NHP,NA,not in IH (flora)
MNA_MNA,MNA,MNA,MNA,Museum of Northern Arizona,NA
MNAIT_MNAIT,MNAIT,MNAIT,MNAIT,Italian National Antarctic Museum (MNA) (Section of Genoa),NA
MNAV_MNAV,MNAV,MNAV,MNAV,Museo Naturalistico Archeologico,NA
MNE_MNE,MNE,MNE,MNE,Maidstone Museum and Art Gallery,NA
HERB_MNES,HERB,MNES,MNES,Universidad Nacional de Misiones,NA
MNES_MNES,MNES,MNES,MNES,Universidad Nacional de Misiones,NA
MNF_MNF,MNF,MNF,MNF,Malheur National Forest,NA
MNH_MNH,MNH,MNH,MNH,Missouri Department of Conservation,NA
MNHM-Botany_MNHM,MNHM-Botany,MNHM,MNHM,Naturhistorisches Museum Mainz/Landessammlung für Naturkunde Rheinland-Pfalz,NA
MNHM_MNHM,MNHM,MNHM,MNHM,Naturhistorisches Museum Mainz/Landessammlung für Naturkunde Rheinland-Pfalz,NA
MNHN_MNHN,MNHN,MNHN,MNHN,Museo Nacional de Historia Natural,NA
MNHN-HerbariumOesau_MNHM,MNHN-HerbariumOesau,MNHM,MNHN-HerbariumOesau,NA,not in IH
MNHS_MNHS,MNHS,MNHS,MNHS,Manchester Natural History Society,NA
NA_MNHW,NA,MNHW,MNHW,NA,not in IH
MNHW_MNHW,MNHW,MNHW,MNHW,NA,not in IH
MNKS_MNKS,MNKS,MNKS,MNKS,Milton Keynes Development Corporation,NA
MNT_MNT,MNT,MNT,MNT,Montserrat National Trust,NA
MNVD_MNVD,MNVD,MNVD,MNVD,Museum für Naturkunde und Vorgeschichte Dessau,NA
MO_Missouri Botanical Garden: Missouri Botanical Garden,MO,Missouri Botanical Garden: Missouri Botanical Garden,MO,Missouri Botanical Garden,NA
Tropicos_Missouri Botanical Garden: Missouri Botanical Garden,Tropicos,Missouri Botanical Garden: Missouri Botanical Garden,MO,Missouri Botanical Garden,NA
HERB_MO,HERB,MO,MO,Missouri Botanical Garden,NA
Missouri Botanical Garden_MO,Missouri Botanical Garden,MO,MO,Missouri Botanical Garden,NA
MO_MO,MO,MO,MO,Missouri Botanical Garden,NA
MOBOT_MO,MOBOT,MO,MO,Missouri Botanical Garden,NA
Tropicos_MO,Tropicos,MO,MO,Missouri Botanical Garden,NA
MO_MOBOT,MO,MOBOT,MO,Missouri Botanical Garden,NA
MOBOT_BR_MOBOT,MOBOT_BR,MOBOT,MO,Missouri Botanical Garden,NA
MOBOT_MOBOT,MOBOT,MOBOT,MO,Missouri Botanical Garden,NA
MO-NHP_NTSRV,MO-NHP,NTSRV,MO-NHP,NA,not in IH (flora)
MOAR_MOAR,MOAR,MOAR,MOAR,"Morris Arboretum, University of Pennsylvania",NA
MOBR_MOBR,MOBR,MOBR,MOBR,"Estación de Investigaciones Marinas de Margarita, Fundación La Salle de Ciencias Naturales",NA
MOC_MOC,MOC,MOC,MOC,Western Oregon University,NA
MOD_MOD,MOD,MOD,MOD,Università degli Studi di Modena e Reggio Emilia,NA
MODNR_MODNR,MODNR,MODNR,MODNR,"Division of State Parks, Missouri Department of Natural Resources",NA
MOG_MOG,MOG,MOG,MOG,National Range Agency,NA
MOL_MOL,MOL,MOL,MOL,Universidad Nacional Agraria La Molina,NA
MOLF_MOLF,MOLF,MOLF,MOLF,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,NA
MONT_MONT,MONT,MONT,MONT,Montana State University,NA
Vascular_MONT,Vascular,MONT,MONT,Montana State University,NA
MONTU_MONTU,MONTU,MONTU,MONTU,University of Montana,NA
Vascular_MONTU,Vascular,MONTU,MONTU,University of Montana,NA
MOQ_MOQ,MOQ,MOQ,MOQ,Universidad Nacional de Moquegua,NA
MOR_MOR,MOR,MOR,MOR,Morton Arboretum,NA
MORA_MORA,MORA,MORA,MORA,Mount Rainier National Park,NA
Vascular_MORA,Vascular,MORA,MORA,Mount Rainier National Park,NA
MOS_MOS,MOS,MOS,MOS,University of Mosul,NA
MOSM_MOSM,MOSM,MOSM,MOSM,All-Russian Research Institute of Medicinal and Aromatic Plants,NA
MOSP_MOSP,MOSP,MOSP,MOSP,Moscow State Pedagogical University,NA
MOSS_MOSS,MOSS,MOSS,MOSS,Universidade Federal Rural do Semi-Árido,NA
MOSS_UFERSA,MOSS,UFERSA,MOSS,Universidade Federal Rural do Semi-Árido,NA
MOST_MOST,MOST,MOST,MOST,Oblastní muzeum a galerie v Mostě,NA
MOT_MOT,MOT,MOT,MOT,Mote Marine Laboratory,NA
MOVC_MOVC,MOVC,MOVC,MOVC,Cornell College,NA
MP_MP,MP,MP,MP,Východoceské muzeum Pardubice,NA
MPA_MPA,MPA,MPA,MPA,École National Supérieure Agronomique,NA
MPE_MPE,MPE,MPE,MPE,F. R. Long Herbarium,NA
MPH_MPH,MPH,MPH,MPH,Shahid Behershti University,NA
MPN_MPN,MPN,MPN,MPN,Massey University,NA
MPPD_MPPD,MPPD,MPPD,MPPD,University of Minnesota,NA
MPR_MPR,MPR,MPR,MPR,Mount Makulu Pasture Research Station,NA
HERB_MPU,HERB,MPU,MPU,Université de Montpellier,NA
MPU_MPU,MPU,MPU,MPU,Université de Montpellier,NA
RECOLNAT_UM_MPU_RECOLNAT_UM_MPU,RECOLNAT_UM_MPU,RECOLNAT_UM_MPU,MPU,Université de Montpellier,NA
RECOLNAT_UM_MPU_UM,RECOLNAT,UM_MPU_UM,MPU,Université de Montpellier,NA
HERB_MPUC,HERB,MPUC,MPUC,Pontifícia Universidade Católica do Rio Grande do Sul,NA
MPUC_MPUC,MPUC,MPUC,MPUC,Pontifícia Universidade Católica do Rio Grande do Sul,NA
MPUC_PUC-RS,MPUC,PUC-RS,MPUC,Pontifícia Universidade Católica do Rio Grande do Sul,NA
MPUC_PUCRS,MPUC,PUCRS,MPUC,Pontifícia Universidade Católica do Rio Grande do Sul,NA
MQ_MQ,MQ,MQ,MQ,Gansu Institute of Desert Control,NA
MQU_MQU,MQU,MQU,MQU,Macquarie University,NA
MRC_MRC,MRC,MRC,MRC,"Rocky Mountain Research Station, USDA Forest Service, Intermountain Research Station",NA
MRCH_MRCH,MRCH,MRCH,MRCH,"Khorasan  Razavi Agricultural and Natural Resources Research  and Education Center, AREEO",NA
MRCMRR_MRCMRR,MRCMRR,MRCMRR,MRCMRR,Mogalakwena Research Centre,NA
MRD_MRD,MRD,MRD,MRD,Moorhead State University,NA
MRGT_MRGT,MRGT,MRGT,MRGT,Friends of Hungarian Rose- and Hawthorn-friends Society (Magyar Rózsa- és Galagonyabarátok Társasága),NA
MRI_MRI,MRI,MRI,MRI,Murray Royal Institution,NA
MRSC_MRSC,MRSC,MRSC,MRSC,Mount Makulu Central Research Station,NA
MRSH_MRSH,MRSH,MRSH,MRSH,Matopos Research Station,NA
MRSN_MRSN,MRSN,MRSN,MRSN,Museo Regionale di Scienze Naturali,NA
MS_MS,MS,MS,MS,Università di Messina,NA
MSBvplantscoll_MSB,MSBvplantscoll,MSB,MSB,Ludwig-Maximilians-Universität,NA
MSB_MSB,MSB,MSB,MSB,Ludwig-Maximilians-Universität,NA
HERB_MSB,HERB,MSB,MSB,Ludwig-Maximilians-Universität,NA
RICEWEEDS_SNRI/ADRON,RICEWEEDS,SNRI/ADRON,MSB,Ludwig-Maximilians-Universität,NA
BSMeryscoll_SNSB-M,BSMeryscoll,SNSB-M,MSB,Ludwig-Maximilians-Universität,NA
BSMfungicoll_SNSB-M,BSMfungicoll,SNSB-M,MSB,Ludwig-Maximilians-Universität,NA
BSMlichenscoll_SNSB-M,BSMlichenscoll,SNSB-M,MSB,Ludwig-Maximilians-Universität,NA
BSMmicrofexscoll_SNSB-M,BSMmicrofexscoll,SNSB-M,MSB,Ludwig-Maximilians-Universität,NA
BSMvplantscoll_SNSB-M,BSMvplantscoll,SNSB-M,MSB,Ludwig-Maximilians-Universität,NA
Vascular Plants_MSC,Vascular Plants,MSC,MSC,Michigan State University,NA
MSC_MSC,MSC,MSC,MSC,Michigan State University,NA
MSC_MSU,MSC,MSU,MSC,Michigan State University,NA
MSCBUB_MSCBUB,MSCBUB,MSCBUB,MSCBUB,Maharaja Sriram Chandra Bhanja Deo University,NA
MSCW_MSCW,MSCW,MSCW,MSCW,Mississippi University for Women,NA
MSE_MSE,MSE,MSE,MSE,ANGUSalive Museums,NA
MSEN_MSEN,MSEN,MSEN,MSEN,Montrose Natural History and Antiquarian Society,NA
MSI_MSI,MSI,MSI,MSI,"Marine Science Institute, University of the Philippines",NA
MSK_MSK,MSK,MSK,MSK,National Academy of Sciences of Belarus,NA
MSKH_MSKH,MSKH,MSKH,MSKH,Central Botanical Garden,NA
MSKU_MSKU,MSKU,MSKU,MSKU,Belarusian State University,NA
MSL_MSL,MSL,MSL,MSL,Royal Medical Society of London,NA
MSLY_MSLY,MSLY,MSLY,MSLY,Mossley Botanical Society,NA
MSM_MSM,MSM,MSM,MSM,University of Puerto Rico,NA
MSMC_MSMC,MSMC,MSMC,MSMC,Mount Saint Mary College,NA
MSNM_MSNM,MSNM,MSNM,MSNM,Museo di Storia Naturale di Milano,NA
MSPC_MSPC,MSPC,MSPC,MSPC,Museo Civico de Storia Naturale di Piacenza,NA
MSTR_MSTR,MSTR,MSTR,MSTR,Museum für Naturkunde,NA
MSU_MSU,MSU,MSU,MSU,"Mindanao State University, Tawi-Tawi  College of Technology and Oceanography",NA
MSUB_MSUB,MSUB,MSUB,MSUB,Montana State University-Billings,NA
MSUD_MSUD,MSUD,MSUD,MSUD,I. I. Mecynikov State University of Odessa,NA
MSUDEN_MSUDEN,MSUDEN,MSUDEN,MSUDEN,Metropolitan State University of Denver,NA
MSUH_MSUH,MSUH,MSUH,MSUH,University of Mosul,NA
MSUN_MSUN,MSUN,MSUN,MSUN,Westfälische Wilhelms-Universität,NA
MSUNH_MSUNH,MSUNH,MSUNH,MSUNH,Montana State University Northern,NA
MSUT_MSUT,MSUT,MSUT,MSUT,Mahasarakham University,NA
MSV_MSV,MSV,MSV,MSV,Museum der Stadt Villach,NA
MT_MT,MT,MT,MT,Université de Montréal,NA
MT_Université de Montréal Biodiversity Centre,MT,Université de Montréal Biodiversity Centre,MT,Université de Montréal,NA
MTCHT_MTCHT,MTCHT,MTCHT,MTCHT,Mar Thoma College,NA
MTDO_MTDO,MTDO,MTDO,MTDO,Chiba University,NA
MTJB_MTJB,MTJB,MTJB,MTJB,Jardin botanique de Montréal,NA
MTK_MTK,MTK,MTK,MTK,Conservatoire Botanique de Martinique,NA
MTL_MTL,MTL,MTL,MTL,Musée Toulouse Lautrec d’Albi,NA
MTMG_McGill University,MTMG,McGill University,MTMG,"McGill University, Macdonald Campus",NA
MTMG_MTMG,MTMG,MTMG,MTMG,"McGill University, Macdonald Campus",NA
MTN_MTN,MTN,MTN,MTN,Malton Field Naturalists' Society,NA
MTRO_MTRO,MTRO,MTRO,MTRO,Muséum de Troyes,NA
MTSU_MTSU,MTSU,MTSU,MTSU,Middle Tennessee State University,NA
HERB_MU,HERB,MU,MU,Miami University,NA
UMO_MU,UMO,MU,MU,Miami University,NA
MU_MU,MU,MU,MU,Miami University,NA
MUAA_MUAA,MUAA,MUAA,MUAA,Universidad Autónoma de Aguascalientes,NA
MUAQ_MUAQ,MUAQ,MUAQ,MUAQ,Universidad Autónoma de Querétaro,NA
SURESTE_MUB,SURESTE,MUB,MUB,Universidad de Murcia,NA
MUB_MUB,MUB,MUB,MUB,Universidad de Murcia,NA
MUBL_MUBL,MUBL,MUBL,MUBL,University of Madras,NA
MUBR_MUBR,MUBR,MUBR,MUBR,Departemen Biologi Universitas Brawijaya,NA
MUCL_MUCL,MUCL,MUCL,MUCL,Université Catholique de Louvain,NA
MUCUC_MUCUC,MUCUC,MUCUC,MUCUC,Universidade de Coimbra,NA
MUCV_MUCV,MUCV,MUCV,MUCV,Monash University Herbarium,not in IH
MUFAL_UFAL,MUFAL,UFAL,MUFAL,Universidade Federal de Alagoas,not in IH
MUFAL_JBRJ,MUFAL,JBRJ,MUFAL,NA,not in IH
MUFAL_MUFAL,MUFAL,MUFAL,MUFAL,NA,not in IH
MUFE_MUFE,MUFE,MUFE,MUFE,Marmara University,NA
MUH_MUH,MUH,MUH,MUH,Mirpur University of Science & Technology,NA
MUHE_MUHE,MUHE,MUHE,MUHE,Maduka University Ekwegbe Nsukka Nigeria,NA
MUHW_MUHW,MUHW,MUHW,MUHW,Marshall University,NA
MUL_MUL,MUL,MUL,MUL,Universitas Mataram,NA
MUMH_MUMH,MUMH,MUMH,MUMH,Micoteca da Universidade do Minho - Herbário,NA
MUNw_MUNw,MUNw,MUNw,MUNw,Holzforschung Muenchen,xylarium|not in IH
MUR_MUR,MUR,MUR,MUR,Murray State University,NA
MURAY_MURAY,MURAY,MURAY,MURAY,Museo Regional de Aysén,NA
MURU_MURU,MURU,MURU,MURU,Murdoch University,NA
MUS_MUS,MUS,MUS,MUS,Muskingum College,NA
MUSK_MUSK,MUSK,MUSK,MUSK,Muskegon Community College,NA
MUST_MUST,MUST,MUST,MUST,Al-Mustansiriya University,NA
MUw_MUw,MUw,MUw,MUw,"Department of Botany, Miami University",xylarium|not in IH
MUZ_MUZ,MUZ,MUZ,MUZ,King Abdulaziz City for Science and Technology,NA
MVC_MVC,MVC,MVC,MVC,University of Charleston,NA
MVDA_MVDA,MVDA,MVDA,MVDA,Ministerio de Ganadería y Agricultura,NA
HERB_MVFA,HERB,MVFA,MVFA,Universidad de la República,NA
MVFA_MVFA,MVFA,MVFA,MVFA,Universidad de la República,NA
HERB_MVFQ,HERB,MVFQ,MVFQ,Universidad de la República,NA
MVFQ_MVFQ,MVFQ,MVFQ,MVFQ,Universidad de la República,NA
MVHC_MVHC,MVHC,MVHC,MVHC,Universidad de la República,NA
HERB_MVJB,HERB,MVJB,MVJB,Museo y Jardín Botánico,NA
MVJB_MVJB,MVJB,MVJB,MVJB,Museo y Jardín Botánico,NA
HERB_MVM,HERB,MVM,MVM,Museo Nacional de Historia Natural,NA
MVM_MVM,MVM,MVM,MVM,Museo Nacional de Historia Natural,NA
MVN_MVN,MVN,MVN,MVN,Public Library,NA
MVPS_MVPS,MVPS,MVPS,MVPS,"Maratha Vidya Prasarak Samaj's Arts, Commerce & Science College, Tryambakeshwar",NA
MVSC_MVSC,MVSC,MVSC,MVSC,Millersville University,NA
MW_Moscow State University,MW,Moscow State University,MW,Moscow State University,NA
Vladimir Oblast Grid Mapping_Moscow State University,Vladimir Oblast Grid Mapping,Moscow State University,MW,Moscow State University,NA
NA_Moscow University Herbarium (MW),NA,Moscow University Herbarium (MW),MW,Moscow State University,NA
MW_MW,MW,MW,MW,Moscow State University,NA
MWCF_MWCF,MWCF,MWCF,MWCF,University of Mary Washington,NA
MWG_MWG,MWG,MWG,MWG,M. V. Lomonosov Moscow State University,NA
MWI_MWI,MWI,MWI,MWI,Western Illinois University,NA
MWSJ_MWSJ,MWSJ,MWSJ,MWSJ,Missouri Western State University,NA
HERB_MY,HERB,MY,MY,Universidad Central de Venezuela,NA
MY_MY,MY,MY,MY,Universidad Central de Venezuela,NA
MYCO_MYCO,MYCO,MYCO,MYCO,The Hoosier Mushroom Society,NA
MYDC_MYDC,MYDC,MYDC,MYDC,Mianyang Institute for Drug Control,NA
MYF_MYF,MYF,MYF,MYF,Universidad Central de Venezuela,NA
MYX_MYX,MYX,MYX,MYX,Lomonosov Moscow State University,NA
MZ_MZ,MZ,MZ,MZ,South Moravian Museum in Znojmo,NA
MZAH_MZAH,MZAH,MZAH,MZAH,M.Zaman Aquatic Herbarium Rajshahi University,NA
HERB_N,HERB,N,N,Nanjing University,NA
N_N,N,N,N,Nanjing University,NA
Herbario Universidade Federal de Minas Gerais_NA,Herbario Universidade Federal de Minas Gerais,NA,NA,Universidade Federal de Minas Gerais,cannot check
HERB_-,HERB,-,NA,NA,cannot check
NA_IIAP,NA,IIAP,NA,NA,not in IH
CCM_NO DISPONIBLE,CCM,NO DISPONIBLE,NA,NA,cannot check
NO DISPONIBLE_NO DISPONIBLE,NO DISPONIBLE,NO DISPONIBLE,NA,NA,cannot check
17126_unknown,17126.0,unknown,NA,NA,not in IH
NA_unknown,NA,unknown,NA,NA,cannot check
NABG_NA,NABG,NA,NABG,Botanical Garden,NA
NABG_NABG,NABG,NABG,NABG,Botanical Garden,NA
VA_NAC,VA,NAC,NAC,Nagano Environmental Conservation Research Institute,NA
NAC_NAC,NAC,NAC,NAC,Nagano Environmental Conservation Research Institute,NA
NACHO_NACHO,NACHO,NACHO,NACHO,North Arkansas College,NA
NAI_NA,NAI,NA,NAI,University of Nairobi,NA
NAI_NAI,NAI,NAI,NAI,University of Nairobi,NA
NAKU_NA,NAKU,NA,NAKU,Namik Kemal University,NA
NAKU_NAKU,NAKU,NAKU,NAKU,Namik Kemal University,NA
NAM_FUNDP,NAM,FUNDP,NAM,"Facultés universitaires Notre-Dame de la Paix, Université de Namur",NA
NAM_NAM,NAM,NAM,NAM,"Facultés universitaires Notre-Dame de la Paix, Université de Namur",NA
NAM_UNamur,NAM,UNamur,NAM,"Facultés universitaires Notre-Dame de la Paix, Université de Namur",NA
NAN_NA,NAN,NA,NAN,Nantong Teachers College,NA
NAN_NAN,NAN,NAN,NAN,Nantong Teachers College,NA
NAP_NA,NAP,NA,NAP,Università Degli Studi di Napoli Federico II,NA
