collection.string,collectioncode.gbif,institutioncode.gbif,index.herbariorum.or.working.code,organization,col.OBS
AQT_AQT,AQT,AQT,AQT,Aktobe Regional University  K. Zhubanov,NA
AQUI_AQUI,AQUI,AQUI,AQUI,Università degli Studi di L'Aquila,NA
AR_AR,AR,AR,AR,Northern (Arctic) Federal University named after M.V. Lomonosov; Federal Center for Integrated Arctic Research Russian Academy of Sciences,NA
AR-NHP_NTSRV,AR-NHP,NTSRV,AR-NHP,NA,not in IH (flora)
ARA_ARA,ARA,ARA,ARA,Universidade Federal de Alagoas,NA
ARAGO_ARAGO,ARAGO,ARAGO,ARAGO,Université Pierre et Marie Curie,NA
Aran_ARAN,Aran,ARAN,ARAN,Aranzadi Zientzia Elkartea/Sociedad de Ciencias Aranzadi,NA
ARAN-EH_ARAN,ARAN-EH,ARAN,ARAN,Aranzadi Zientzia Elkartea/Sociedad de Ciencias Aranzadi,NA
ARAN-LGGB_ARAN,ARAN-LGGB,ARAN,ARAN,Aranzadi Zientzia Elkartea/Sociedad de Ciencias Aranzadi,NA
ARAUCA-UNICENTRO_ARAUCA-UNICENTRO,ARAUCA-UNICENTRO,ARAUCA-UNICENTRO,ARAUCA-UNICENTRO,Universidade Estadual do Centro Oeste  - UNICENTRO,NA
ARB_ARB,ARB,ARB,ARB,Salahiddin University,NA
ARBH_ARBH,ARBH,ARBH,ARBH,Arbroath Scientific and Natural History Society,NA
ARBO_ARBO,ARBO,ARBO,ARBO,FJS - Fundação José Silveira - Programa Arboretum,not in IH
ARC_ARC,ARC,ARC,ARC,Universidad Nacional del Comahue,NA
ARCH_ARCH,ARCH,ARCH,ARCH,Archbold Biological Station,NA
ARD_ARD,ARD,ARD,ARD,"School of Pharmacy, Ardabil University of Medical Sciences, Ardabil, Iran",NA
ARDOT_ARDOT,ARDOT,ARDOT,ARDOT,Arkansas Department of Transportation,NA
ARG_ARG,ARG,ARG,ARG,"Argotti Botanic Garden, University of Malta",NA
HERB_ARIZ,HERB,ARIZ,ARIZ,University of Arizona,NA
ARIZ_ARIZ,ARIZ,ARIZ,ARIZ,University of Arizona,NA
