source,kingdom,name,name.correct,order.correct,class.correct
apg_v14|col_v2025,plantae,Blandfordiaceae,Blandfordiaceae,Asparagales,Liliopsida
apg_v14|col_v2025,plantae,Blattiaceae,Lythraceae,Myrtales,Magnoliopsida
apg_v14|col_v2025,plantae,Blepharocaryaceae,Anacardiaceae,Sapindales,Magnoliopsida
apg_v14|col_v2025,plantae,Blitaceae,Amaranthaceae,Caryophyllales,Magnoliopsida
apg_v14,plantae,Blyxaceae,Hydrocharitaceae,Alismatales,Liliopsida
apg_v14,plantae,Boerlagellaceae,Sapotaceae,Ericales,Magnoliopsida
apg_v14,plantae,Bogutchanthaceae,Bogutchanthaceae,Hamamelidales,NA
apg_v14|col_v2025,plantae,Bolbitidaceae,Dryopteridaceae,Polypodiales (Eupolypod I),Polypodiopsida
apg_v14,plantae,Bolivaraceae,Oleaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Bombacaceae,Malvaceae,Malvales,Magnoliopsida
apg_v14|col_v2025,plantae,Bonnetiaceae,Bonnetiaceae,Malpighiales,Magnoliopsida
apg_v14|col_v2025,plantae,Bontiaceae,Scrophulariaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Boopidaceae,Calyceraceae,Asterales,Magnoliopsida
apg_v14|col_v2025,plantae,Boraginaceae,Boraginaceae,Boraginales,Magnoliopsida
apg_v14,plantae,Borassaceae,Arecaceae,Arecales,Liliopsida
apg_v14|col_v2025,plantae,Boroniaceae,Rutaceae,Sapindales,Magnoliopsida
apg_v14,plantae,Borthwickiaceae,Resedaceae,Brassicales,Magnoliopsida
apg_v14|col_v2025,plantae,Boryaceae,Boryaceae,Asparagales,Liliopsida
apg_v14|col_v2025,plantae,Botrychiaceae,Ophioglossaceae,Ophioglossales,Polypodiopsida
apg_v14|col_v2025,plantae,Botryodendraceae,Araliaceae,Apiales,Magnoliopsida
apg_v14|col_v2025,plantae,Bougainvilleaceae,Nyctaginaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Boweniaceae,Zamiaceae,Cycadales,Cycadopsida
apg_v14|col_v2025,plantae,Brachycaulaceae,Saxifragaceae,Saxifragales,Magnoliopsida
apg_v14,plantae,Bracteocarpaceae,Podocarpaceae,Cupressales,Pinopsida
apg_v14|col_v2025,plantae,Brassicaceae,Brassicaceae,Brassicales,Magnoliopsida
apg_v14|col_v2025,plantae,Bretschneideraceae,Akaniaceae,Brassicales,Magnoliopsida
apg_v14|col_v2025,plantae,Brexiaceae,Celastraceae,Celastrales,Magnoliopsida
apg_v14,plantae,Bromaceae,Poaceae,Poales,Liliopsida
apg_v14|col_v2025,plantae,Bromeliaceae,Bromeliaceae,Poales,Liliopsida
apg_v14|col_v2025,plantae,Browalliaceae,Solanaceae,Solanales,Magnoliopsida
apg_v14|col_v2025,plantae,Brownlowiaceae,Malvaceae,Malvales,Magnoliopsida
apg_v14|col_v2025,plantae,Brunelliaceae,Brunelliaceae,Oxalidales,Magnoliopsida
apg_v14|col_v2025,plantae,Bruniaceae,Bruniaceae,Bruniales,Magnoliopsida
apg_v14|col_v2025,plantae,Brunoniaceae,Goodeniaceae,Asterales,Magnoliopsida
apg_v14,plantae,Brunsvigiaceae,Amaryllidaceae,Asparagales,Liliopsida
apg_v14|col_v2025,plantae,Bryoniaceae,Cucurbitaceae,Cucurbitales,Magnoliopsida
apg_v14|col_v2025,plantae,Buchneraceae,Orobanchaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Bucidaceae,Combretaceae,Myrtales,Magnoliopsida
apg_v14|col_v2025,plantae,Buddlejaceae,Scrophulariaceae,Lamiales,Magnoliopsida
apg_v14,plantae,Buglossaceae,Boraginaceae,Boraginales,Magnoliopsida
apg_v14,plantae,Bulbocodiaceae,Colchicaceae,Liliales,Liliopsida
apg_v14,plantae,Bumeliaceae,Sapotaceae,Ericales,Magnoliopsida
apg_v14|col_v2025,plantae,Bupleuraceae,Apiaceae,Apiales,Magnoliopsida
apg_v14,plantae,Burchardiaceae,Colchicaceae,Liliales,Liliopsida
apg_v14|col_v2025,plantae,Burmanniaceae,Burmanniaceae,Dioscoreales,Liliopsida
apg_v14|col_v2025,plantae,Burseraceae,Burseraceae,Sapindales,Magnoliopsida
apg_v14|col_v2025,plantae,Butneriaceae,Calycanthaceae,Laurales,Magnoliopsida
apg_v14|col_v2025,plantae,Butomaceae,Butomaceae,Alismatales,Liliopsida
apg_v14|col_v2025,plantae,Buxaceae,Buxaceae,Buxales,Magnoliopsida
apg_v14|col_v2025,plantae,Byblidaceae,Byblidaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Byttneriaceae,Malvaceae,Malvales,Magnoliopsida
apg_v14|col_v2025,plantae,Cabombaceae,Cabombaceae,Nymphaeales,Magnoliopsida
apg_v14,plantae,Cacaoaceae,Malvaceae,Malvales,Magnoliopsida
apg_v14|col_v2025,plantae,Cactaceae,Cactaceae,Caryophyllales,Magnoliopsida
apg_v14,plantae,Caesalpiniaceae,Fabaceae,Fabales,Magnoliopsida
apg_v14,plantae,Caladiaceae,Araceae,Alismatales,Liliopsida
apg_v14,plantae,Calamaceae,Arecaceae,Arecales,Liliopsida
apg_v14|col_v2025,plantae,Calceolariaceae,Calceolariaceae,Lamiales,Magnoliopsida
apg_v14,plantae,Calectasiaceae,Dasypogonaceae,Arecales,Liliopsida
apg_v14|col_v2025,plantae,Calendulaceae,Asteraceae,Asterales,Magnoliopsida
apg_v14,plantae,Callaceae,Araceae,Alismatales,Liliopsida
apg_v14|col_v2025,plantae,Callicomaceae,Cunoniaceae,Oxalidales,Magnoliopsida
apg_v14|col_v2025,plantae,Calligonaceae,Polygonaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Callitrichaceae,Plantaginaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Callitridaceae,Cupressaceae,Cupressales,Pinopsida
