seq,,collectionCode,institutionCode,collectionName,institutionName,scope,numberOfRecords,city,state,country,keywords_en
344,MHNCI-Mollusca_MHNCI,MHNCI-Mollusca,MHNCI,Coleção de Mollusca MHNCI,Museu de História Natural Capão da Imbuia,animais,3989,Curitiba,PR,Brasil,animals aquatic invertebrates mollusca
345,MHNCI-Peixes_MHNCI,MHNCI-Peixes,MHNCI,Coleção de Peixes MHNCI,Museu de História Natural Capão da Imbuia,animais,12478,Curitiba,PR,Brasil,animals fishes vertebrates
351,MVZ-Bird_BERKELEY,MVZ-Bird,BERKELEY,MVZ Bird Collection (Arctos),"University of California, Berkeley",animais,11115,Berkeley,CA,Estados Unidos,animals birds vertebrates
352,MVZ-Herp_BERKELEY,MVZ-Herp,BERKELEY,MVZ Herp Collection (Arctos),"University of California, Berkeley",animais,14232,Berkeley,CA,Estados Unidos,animals reptiles and amphibians vertebrates
353,MVZ-Mammal_BERKELEY,MVZ-Mammal,BERKELEY,MVZ Mammal Collection (Arctos),"University of California, Berkeley",animais,20301,Berkeley,CA,Estados Unidos,animals vertebrates
354,MZFS_UEFS,MZFS,UEFS,Coleção Científica da Divisão de Peixes do Museu de Zoologia,Universidade Estadual de Feira de Santana,animais,17999,Feira de Santana,BA,Brasil,animals fishes vertebrates
355,MZUEL-Abelhas_UEL,MZUEL-Abelhas,UEL,Museu de Zoologia da Universidade Estadual de Londrina - Coleção de Abelhas,Universidade Estadual de Londrina,animais,483,Londrina,PR,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
356,MZUEL-Aves_UEL,MZUEL-Aves,UEL,Coleção de Aves do Museu de Zoologia,Universidade Estadual de Londrina,animais,47,Londrina,PR,Brasil,animals birds vertebrates
357,MZUEL-Herpeto_UEL,MZUEL-Herpeto,UEL,Coleção de Herpetofauna do Museu de Zoologia,Universidade Estadual de Londrina,animais,1802,Londrina,PR,Brasil,animals reptiles and amphibians vertebrates
358,MZUEL-Mamiferos_UEL,MZUEL-Mamiferos,UEL,Coleção de Mamíferos do Museu de Zoologia,Universidade Estadual de Londrina,animais,313,Londrina,PR,Brasil,animals mammals vertebrates
359,MZUEL-Peixes_UEL,MZUEL-Peixes,UEL,Museu de Zoologia da Universidade Estadual de Londrina - Coleção de Peixes,Universidade Estadual de Londrina,animais,20773,Londrina,PR,Brasil,animals fishes vertebrates
360,MZUSP_USP,MZUSP,USP,Coleção de Peixes do Museu de Zoologia da USP,Universidade de São Paulo,animais,79278,São Paulo,SP,Brasil,animals fishes vertebrates
362,NHM-London-ENT_NHMLondon,NHM-London-ENT,NHMLondon,Entomological collections,Natural History Museum London,animais,10360,Londres,,Inglaterra,animals insects terrestrial invertebrates
364,NHM-London-ZOO_NHMLondon,NHM-London-ZOO,NHMLondon,Zoological collection,Natural History Museum London,animais,13393,Londres,,Inglaterra,animals
367,NL-Hymenoptera_NBC,NL-Hymenoptera,NBC,Naturalis Biodiversity Center (NL) - Hymenoptera,Naturalis Biodiversity Center,animais,1491,,,Holanda,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
368,NPM_UFRJ,NPM,UFRJ,Coleção de Peixes do NUPEM,Universidade Federal do Rio de Janeiro,animais,6548,Macaé,RJ,Brasil,animals fishes vertebrates
369,NUP_UEM,NUP,UEM,Coleção Ictiológica do Nupélia,Universidade Estadual de Maringá,animais,22574,Maringá,PR,Brasil,animals fishes vertebrates
374,OSUC-Insects_OSU,OSUC-Insects,OSU,"C.A. Triplehorn Insect Collection (OSUC), Ohio State University",Ohio State University,animais,107789,Athens,OH,Estados Unidos,animals insects terrestrial invertebrates
382,PBI_BR_AMNH,PBI_BR,AMNH,Planetary Biodiversity Inventory for Plant Bugs,American Museum of Natural History,animais,3498,Nova York,NY,Estados Unidos,animals insects terrestrial invertebrates
390,RECOLNAT_MNHN_EL_MNHN,RECOLNAT_MNHN_EL,MNHN,The Lepidoptera collection,Muséum national d'Histoire naturelle,animais,2477,,Paris,França,animals insects lepidoptera butterflies and moths terrestrial invertebrates
391,RECOLNAT_MNHN_EY_MNHN,RECOLNAT_MNHN_EY,MNHN,The Hymenoptera collection (EY),Muséum national d'Histoire naturelle,animais,487,,Paris,França,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
392,RECOLNAT_MNHN_IC_MNHN,RECOLNAT_MNHN_IC,MNHN,The fishes collection,Muséum national d'Histoire naturelle,animais,14316,Paris,Île-de-France,França,animals fishes vertebrates
395,RECOLNAT_MNHN_ZO_MNHN,RECOLNAT_MNHN_ZO,MNHN,The birds collection,Muséum national d'Histoire naturelle,animais,3689,Paris,Île-de-France,França,animals birds vertebrates
400,RPSP_USP,RPSP,USP,"Coleção Entomológica “Prof. J.M.F. Camargo”, FFCLRP/USP",Universidade de São Paulo,animais,109585,Ribeirão Preto,SP,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
429,UBTU_UNESP,UBTU,UNESP,Coleção de Aranhas (Araneae) da Unesp,Universidade Estadual Paulista,animais,3469,Botucatu,SP,Brasil,animals arachnids araneae spiders terrestrial invertebrates
