order,source,status,country_code,state_code,county_code,code,NAME_0,NAME_1,NAME_2,NAME_3,NAME_4,loc,loc.correct,latitude.gazetteer,longitude.gazetteer,resolution.gazetteer,AtlanticForest_Lei11428,AreaAF.prop_Lei11428,leiMA.prop_novo_conferir,AtlanticForest_Biomas_MMA,biome,checagem,warning,loc.best
22361,gadm,ok,GP,NA,NA,NA,Guadeloupe,Basse-Terre,Vieux-Fort,NA,NA,guadeloupe_basse terre_vieux fort,guadeloupe_basse terre_vieux fort,15.9595308,-61.69463718,county,NA,NA,NA,NA,NA,NA,NA,NA
22362,gadm,ok,GP,NA,NA,NA,Guadeloupe,Basse-Terre,Vieux-Habitants,NA,NA,guadeloupe_basse terre_vieux habitants,guadeloupe_basse terre_vieux habitants,16.08698098,-61.72607657,county,NA,NA,NA,NA,NA,NA,NA,NA
35303,gbif_gsg,ok,NA,NA,NA,NA,Guadeloupe,NA,NA,NA,NA,guadeloupe island,guadeloupe,16.220762,-61.662937,country,NA,NA,NA,NA,NA,NA,NA,NA
34279,gbif,ok,GP,NA,NA,NA,Guadeloupe,Basse-Terre,Petit-Bourg,NA,NA,guadeloupe_NA_NA_petit bourg,guadeloupe_basse terre_petit bourg,16.17153943,-61.65738121,county,NA,NA,NA,NA,NA,NA,NA,NA
34634,gadm,ok,GP,NA,NA,NA,Guadeloupe,Pointe-à-Pitre,NA,NA,NA,guadeloupe_pointe a pitre,guadeloupe_pointe a pitre,16.32627179,-61.42847281,state,NA,NA,NA,NA,NA,NA,NA,NA
22363,gadm,ok,GP,NA,NA,NA,Guadeloupe,Pointe-à-Pitre,Anse-Bertrand,NA,NA,guadeloupe_pointe a pitre_anse bertrand,guadeloupe_pointe a pitre_anse bertrand,16.46592403,-61.46226063,county,NA,NA,NA,NA,NA,NA,NA,NA
22364,gadm,ok,GP,NA,NA,NA,Guadeloupe,Pointe-à-Pitre,Capesterre-de-Marie-Galante,NA,NA,guadeloupe_pointe a pitre_capesterre marie galante,guadeloupe_pointe a pitre_capesterre marie galante,15.92013585,-61.22965442,county,NA,NA,NA,NA,NA,NA,NA,NA
22365,gadm,ok,GP,NA,NA,NA,Guadeloupe,Pointe-à-Pitre,Grand-Bourg,NA,NA,guadeloupe_pointe a pitre_grand bourg,guadeloupe_pointe a pitre_grand bourg,15.90606235,-61.29423749,county,NA,NA,NA,NA,NA,NA,NA,NA
22366,gadm,ok,GP,NA,NA,NA,Guadeloupe,Pointe-à-Pitre,La Désirade,NA,NA,guadeloupe_pointe a pitre_la desirade,guadeloupe_pointe a pitre_la desirade,16.32097954,-61.04826913,county,NA,NA,NA,NA,NA,NA,NA,NA
22367,gadm,ok,GP,NA,NA,NA,Guadeloupe,Pointe-à-Pitre,Le Gosier,NA,NA,guadeloupe_pointe a pitre_le gosier,guadeloupe_pointe a pitre_le gosier,16.22513883,-61.46993074,county,NA,NA,NA,NA,NA,NA,NA,NA
