order,collection.string,collectioncode.gbif,institutioncode.gbif,name,records,pub.date,citation,license,datasetkey,rightsholder,index.herbariorum.or.working.code,organization,branch,department,section,total accessioned,geography,exchange,current status,notes,commenced date,incorporated herbaria,associatedHerbaria,latitude,longitude,physical street address,physical city,physical state,physical post code,physical country,col.OBS,,Herbarium vouchers Y/N,Herbarium vouchers Y (%)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,name,,,,,,,Collection acronym,institution,,,,Collection size (# specimens),Collection specialisation,,,Last update,,,Online database,,,adress,City,,,Country,,,,
28,SPSFw_NA,SPSFw,NA,Xiloteca SPSFw,,,,,,,SPSFw,Instituto de Florestal de Sao Paulo,,,,3350,southeast and southern Brazil,,,Last update: 2003,,,,,,"Rua do Horto, 931,Tremembe, Caixa Postal 1322 CEP:02377-000, Sao Paulo, SP",SAO PAULO,,,Brazil,xylarium,,Y,10
29,SPw_NA,SPw,NA,Xiloteca do Instituto de Botanica de Sao Paulo,,,,,,,SPw,Instituto de Botanica,,,,2003,State of Sao Paulo,,,Last update: 2002,,,,,,"Caixa Postal 4003, Sao Paulo",SAO PAULO,,,Brazil,xylarium,,Y,20
30,SPFw_NA,SPFw,NA,Xiloteca Nanuza Luiza de Menezes,,,,,,,SPFw,"Universidade de Sao Paulo (USP), Instituto de Biociencias (IB-USP), Departamento de Botanica",,,,3503,"Taxa well represented include Terminalia and Buchenavia (Combretaceae), Podocarpus (Podocarpaceae), Casearia (Flacourtiaceae), Davilla (Dilleniaceae). Also, ecosystems of Brazil, including trees and shrubs from Brazilian cerrado (woody savanna) and deciduous forest of Mato Grosso region, campos rupestres (Rocky fields) of Minas Gerais and Bahia regions, Atlantic rain forest and Amazonia. Many samples of tropical lianes. Also representative collections of Nicaragua and Cuba",,,Last update: 2003,,,http://splink.cria.org.br/index?&setlang=en,,,"Rua do Matao 277, Cidade Universitaria, 05508-090; Post Address: C.P. 11461, 05522-970 Sao Paulo, SP",SAO PAULO,,,Brazil,xylarium,,Y,85
31,FPDw_NA,FPDw,NA,Xiloteca do Departamento de Produtos Florestais,,,,,,,FPDw,"Universidade Federal Rural do Rio de Janeiro, Instituto de Florestas, Departamento de Produtos Florestais, ",,,,4900,,,,Last update: 2006,,,,,,"BR 465, Km 07, Campus Universitario, Seropedica, Rio de Janeiro, 23890-000",SEROPEDICA,,,Brazil,xylarium,,N,
32,OLw_NA,OLw,NA,Natural Resources Canada,,,,,,,OLw,"Canadian Forest Service, Canadian Wood Fibre Centre",,,,3829,Timber species of present and potential commercial importance,,,Last update: 2018,,,,,,"1055 du P.E.P.S., Quebec, Quebec, G1V 4C7",QUEBEC,,,Canada,xylarium,,?,
33,TRTw_NA,TRTw,NA,Faculty of Forestry,,,,,,,TRTw,University of Toronto,,,,2000,"Canada. U.S.A., British Commonwealth countries",,,Last update: 1988,,,,,,Toronto. Ontario. M5S lA1,TORONTO,,,Canada,xylarium,,?,
34,VLw_NA,VLw,NA,Faculty of Forestry,,,,,,,VLw,University of British Columbia,,,,7500,,,,Last update: 2018,,,,,,"2424 Main Mall, Vancouver, British Columbia, V6T 1Z4",VANCOUVER,,,Canada,xylarium,,?,
35,CONCw_NA,CONCw,NA,Departamento de Botanica,,,,,,,CONCw,"Facultad de Ciencias Naturales y Oceanograficas, Universidad de Concepcion",,,,322,Chile,,,Last update: 2006,,,,,,"Casilla 160-C, Concepcion",CONCEPCION,,,Chile,xylarium,,Y,1
36,EIFw_NA,EIFw,NA,Xiloteca,,,,,,,EIFw,"Departamento de Ciencia y Tecnologia de la Madera, Facultad de Ciencias Forestales, Universidad de Chile",,,,1500,Native and exotic Chilean woods with special emphasis on commercial species,,,Last update: 1988,,,,,,"Santa Rosa, Paradero 32 1/2, Casilla 9206, Santiago",SANTIAGO,,,Chile,xylarium,,Y (elsewhere),25
37,BOFw_NA,BOFw,NA,Instituto de Investigaciones Forestales y Madereras,,,,,,,BOFw,Universidad Distrital,,,,1400,"Magdalena Valley, Pacific coast, Amazon region",,,Last update: 1988,,,,,,"Apanado Aereo 8668, Bogota",BOGOTA,,,Colombia,xylarium,,Y,90
38,MEDELw_NA,MEDELw,NA,Universidad Nacional de Colombia Sede Medellín,,,,,,,MEDELw,"Departamento de Ciencias Forestales, Laboratorio de Productos Forestales LPF",,,,3228,"America, specially Colombia, Brazil and Venezuela",,,Last update: 2016,,,,,,"Carrera 64 No 63 120 - Bloque 03 - Nucleo del Rio, A.A. 1027, Medellín",MEDELLIN,,,Colombia,xylarium,,Y,2
39,TECw_NA,TECw,NA,Instituto Tecnologico de Costa Rica,,,,,,,TECw,"Instituto Tecnologico de Costa Rica, Escuela de Ingeniería Forestal",,,,3000,Central America; Tropical species,,,Last update: 2009,,,,,,"CIIBI- Apartado Postal 159-7050, Cartago",CARTAGO,,,Costa Rica,xylarium,,Y,50
40,ECw_NA,ECw,NA,Escuela de Ciencias Ambientales,,,,,,,ECw,Universidad Nacional,,,,250,Costa Rica,,,Last update: 1988,,,,,,Heredia,HEREDIA,,,Costa Rica,xylarium,,Y,15
41,IICAw_NA,IICAw,NA,Laboratorio de Productos Forestales del Centro Agronomico Tropical de Investigacion Ensenanza (CATIE),,,,,,,IICAw,Universidad de Costa Rica,,,,1350,"South and Central America, Caribbean regions",,,Last update: 1988,,,,,,"Apartado 36, Turrialba",TURRIALBA,,,Costa Rica,xylarium,,Y (elsewhere),95
42,,,,Department for wood science,,,,,,,,"Faculty of Forestry, University of Zagreb",,,,2427,"Southeast Europe, especially the Balkan mountain area and the Adriatic coastal region",,,Last update: 2016,,,,,,"Svetošimunska cesta 25, 10000 Zagreb",ZAGREB,,,Croatia,xylarium,,?,
43,HBw_NA,HBw,NA,Julian Acuna,,,,,,,HBw,Forest Research Institute,,,,569,seven Cuban regions,,,Last update: 2007,,,,,,"Calle 174, No. 1723 (e) 17b y 17c, Siboney, Playa, Ciudad Habana, Cp 11 600",HAVANA,,,Cuba,xylarium,,Y,75
44,SVw_NA,SVw,NA,Wood collection of the Estacion Experimental Agronomica de Santiago de Las Vegas (SV),,,,,,,SVw,Institute of Ecology and Systematic,,,,382,Cuban flora,,,Last update: 2007,,,,,,"Carretera de Varona, Km 31/2 Capdevila, Boyeros CP 10800 AP8029, Ciudad de La Habana",HAVANA,,,Cuba,xylarium,,N,
45,LSw_NA,LSw,NA,Wood collection of Colegio de la Salle (LS),,,,,,,LSw,Institute of Ecology and Systematic,,,,280,Cuban flora,,,Last update: 2007,,,,,,"Carretera de Varona, Km 31/2 Capdevila, Boyeros CP 10800 AP8029, Ciudad de La Habana",HAVANA,,,Cuba,xylarium,,N,
46,HACw_NA,HACw,NA,"National Herbarium of Cuba ""Dr. Onaney Muniz"" (HAC)",,,,,,,HACw,Institute of Ecology and Systematic,,,,,Cuban flora,,,Last update: 2007,,,,,,"Carretera de Varona, Km 31/2 Capdevila, Boyeros CP 10800 AP8029, Ciudad de La Habana",HAVANA,,,Cuba,xylarium,,N,
47,ACCw_NA,ACCw,NA,Wood collection of The Cuban Science Academy (ACC),,,,,,,ACCw,Institute of Ecology and Systematic,,,,105,Cuban flora,,,Last update: 2007,,,,,,"Carretera de Varona, Km 31/2 Capdevila, Boyeros CP 10800 AP8029, Ciudad de La Habana",HAVANA,,,Cuba,xylarium,,N,
48,LPIw_NA,LPIw,NA,San Cristobal Central Laboratory,,,,,,,LPIw,Loyola Polytechnic Institute,,,,300,"Haiti, Dominican Republic and Caribbean countries",,,Last update: 2002,,,,,,"1 Padre Angel Arias St., San Cristobal",SAN CRISTOBAL,,,Dominican Republic,xylarium,,N,
49,JBSDw_NA,JBSDw,NA,"Jardin Botanico Nacional ""Dr. Rafael M. Moscoso""",,,,,,,JBSDw,"Herbarium, Botany Department",,,,,"Haiti, Dominican Republic and Caribbean countries",,,Last update: 2002,,,,,,"P.O. Box 21-9, Santo Domingo",SANTO DOMINGO,,,Dominican Republic,xylarium,,Y,
50,DEQw_NA,DEQw,NA,Dendroxiloteca Ecuatoriana M.A.S.,,,,,,,DEQw,Instituto Ecuatoriano de Ciencias Naturales,,,,3000,Tropical woods of Ecuador,,,Last update: 1988,,,,,,"Apartado 408, Quito",QUITO,,,Ecuador,xylarium,,Y,95
51,,,,Université de Lorraine,,,,,,,,ENSTIB (Ecole Nationale Supérieure des Technologies et Industries du Bois),,,,,Europe,,,Last update: 2016,,,,,,"27 rue Philippe Séguin, CS 60036, 88026 EPINAL Cedex",EPINAL,,,France,xylarium,,N,
52,CTFw_NA,CTFw,NA,,,,,,,,CTFw,CIRAD-Foret,,,,33500,"West Africa, Madagascar, Indochina, New Caledonia, French Guiana",,,Last update: 2003,,,https://doi.org/10.18167/xylotheque,,,"TA 10/16, 73 rue Jean Francois Breton, 34398 Montpellier Cedex",MONTPELLIER,,,France,xylarium,,Y (elsewhere),50
53,Pw_NA,Pw,NA,La Xylothèque du Museum national d'Histoire naturelle (P),,,,,,,Pw,Galerie de Botanique,,,,15000,world,,,Last update: 2016,,,http://colhelper.mnhn.fr/,,,"57 rue Cuvier, 75231 Paris cedex 05",PARIS,,,France,xylarium,,Y,
54,PATw_NA,PATw,NA,Departement Hommes,,,,,,,PATw,Natures & Societes,,,,3440,"Africa (Ivory Coast, Cameroon, Gabon); Indochina, Japan, Oceania",,,Last update: 2003,,,,,,"Museum national d'Histoire naturelle, 57 rue Cuvier, 75231 Paris cedex 05",PARIS,,,France,xylarium,,Y,45
55,CTBw_NA,CTBw,NA,,,,,,,,CTBw,Centre Technique du Bois et de l'Ameublement,,,,1500,"France, Europe, temperate climate areas",,,Last update: 1988,,,,,,"10 avenue de St Mande, 75,012 Paris",PARIS,,,France,xylarium,,?,
56,BHUw_NA,BHUw,NA,Naturhistorisches Forschungsinstitut,,,,,,,BHUw,"Museum fur Naturkunde, Institut fur Palaontologie",,,,5000,"Worldwide, mainly Brandenburg and Saxonie",,,Last update: 2002,,,,,,"Invalidenstrade 43, D-10 115 Berlin",BERLIN,,,Germany,xylarium,,N,
57,Bw_NA,Bw,NA,Botanischer Garten und Botanisches Museum Berlin-Dahlem,,,,,,,Bw,,,,,9000,world,,,Last update: 1988,,,,,,"Konigin-Luise-Strasse 6-8, D-1000 Berlin 33",BERLIN-DAHLEM,,,Germany,xylarium,,Y,
58,DREw_NA,DREw,NA,Institute for Wood Technology,,,,,,,DREw,,,,,2000,"Europe, Africa, Central America, New Zealand, Indochina, Indonesia",,,Last update: 2010,,,www.ihd-dresden.de,,,"Zellescher Weg 24, D-01217 Dresden",DRESDEN,,,Germany,xylarium,,N,
59,JWGw_NA,JWGw,NA,Johann Wolfgang Goethe-Universitat,,,,,,,JWGw,Institut fur archaologische Wissenschaften,,,,1781,"Africa, south of the Sahara, in particular West- and Central Africa",,,Last update: 2006,,,,,,"Abteilung fur Vor- und Fruhgeschichte, Archaologie und Archaobotanik Afrikas, Gruneburgplatz 1, 60629 Frankfurt am Main",FRANKFURT,,,Germany,xylarium,,Y (elsewhere),33
60,FRw_NA,FRw,NA,Senckenberg Forschungsinstitut und Naturmuseum,,,,,,,FRw,"Herbarium Senckenbergianum, Abteilung Botanik & molekulare Evolutionsforschung",,,,1000,"Europe (especially Austria and Germany), Ghana (Gold Coast) and Japan",,,Last update: 2009,,,www.senckenberg.de/root/index.php?page_id=422,,,"Senckenberganlage 25, D-60325 Frankfurt am Main",FRANKFURT,,,Germany,xylarium,,Y,1
61,RBHw_NA,RBHw,NA,Thünen Institute of Wood Research (The Johann Heinrich von Thünen Institute,,,,,,,RBHw,"Federal Research Institute for Rural Areas, Forestry and Fisheries)",,,,35000,"Tropical regions, Boraginaceae, Dichapetalaceae, Dipterocarpaceae, Ebenaceae, Lauraceae, Magnoliaceae, Myristicaceae, Monimiaceae, Palmae (rattan genera), Sapotaceae (Asia)",,,Last update: 2015,,,https://www.ti.bund.de/en/infrastructure/the-thuenen-centre-of-competence-on-the-origin-of-timber/,,,"Leuschnerstrasse 91, 21031 Hamburg",HAMBURG,,,Germany,xylarium,,Y (elsewhere),50
62,MUNw_NA,MUNw,NA,Technische Universitat Muenchen,,,,,,,MUNw,Holzforschung Muenchen,,,,10000,150 Central European specimens,,,Last update: 2015,,,http://www.hfm.tum.de/index.php?id=456,,,"Winzererstrasse 45, D-80797 Muenchen",MUNICH,,,Germany,xylarium,,?,
63,RFw_NA,RFw,NA,Fachhochschule Rosenheim,,,,,,,RFw,,,,,3500,,,,Last update: 1988,,,,,,"Marienberger Strasse 26, D-8200 Rosenheim",ROSENHEIM,,,Germany,xylarium,,Y (elsewhere),10
64,TSFw_NA,TSFw,NA,Sektion Forstwirtschaft,,,,,,,TSFw,"Bereich Biologie, Forstbotanischer Garten, Technische Universitat Dresden",,,,2350,,,,Last update: 1988,,,,,,"Pienner Strasse 7, 8223 Tharandt",THARANDT,,,Germany,xylarium,,?,
65,FORIGw_NA,FORIGw,NA,Forestry Research Institute of Ghana (FORIG),,,,,,,FORIGw,Wood Anatomy Laboratory,,,,883,"Ghana, Tropical Africa",,,Last update: 2015,,,,,,"UPO 63, Knust, Kumasi",KUMASI,,,Ghana,xylarium,,N,
66,TAUw_NA,TAUw,NA,Laboratory of Forest Utilization,,,,,,,TAUw,"School of Agriculture & Forestry, Aristotelian University",,,,1127,Commercial woods of the world,,,Last update: 1988,,,,,,Thessaloniki,THESSALONIKI,,,Greece,xylarium,,Y (elsewhere),100
67,GTw_NA,GTw,NA,Xylarium Section,,,,,,,GTw,"Jonah Boyan Herbarium, Guyana Forestry Commission",,,,757,Guyana,,,Last update: 1988,,,,,,"Lot 1, Water Street, Kingston, Georgetown",GEORGETOWN,,,Guyana,xylarium,,Y,100
68,EHHw_NA,EHHw,NA,Ekman Herbarium of Haiti,,,,,,,EHHw,"Faculte d'Agronomie et de Medecine Veterinaire, Universite d'Etat d'Haiti",,,,300,Economic and trade woods of Haiti,,,Last update: 2002,,,,,,"Route Nationale #1, Damien, Port-au-Prince, P.O. Box 1441",PORT-AU-PRINCE,,,Haiti,xylarium,,Y,
69,BPw_NA,BPw,NA,Collectio Dendrologica.,,,,,,,BPw,Botanical Department of the Hungarian Natural History Museum,,,,1500,Mostly Hungary,,,Last update: 1988,,,,,,"Budapest VIII. Konyves Kalman krt. 40, H-1476 Budapest Pf. 222",BUDAPEST,,,Hungary,xylarium,,Y,
70,SZDw_NA,SZDw,NA,Institutum Botanicum et Hortus Botanicus,,,,,,,SZDw,Universitatis Szeged,,,,560,Cycadales and conifers,,,Last update: 1988,,,,,,"Egyetem u. 2, Szeged 6722",SZEGED,,,Hungary,xylarium,,?,
71,REYw_NA,REYw,NA,Haraldar Agustsson Wood Collection,,,,,,,REYw,,,,,1600,Worldwide and woods from Iceland,,,Last update: 1988,,,,,,"Miklabraut 9, 105 Reykjavik",REYKJAVIK,,,Iceland,xylarium,,N,
72,AMw_NA,AMw,NA,Birla Museum of Forestry and Forest Products,,,,,,,AMw,Birla Institute of Scientific Research,,,,1140,world,,,Last update: 1988,,,,,,"P.O. Amlai Paper Mills-484 117, Dist. Shahdol (M.P.)",AMLAI,,,India,xylarium,,Y (elsewhere),90
73,DDw_NA,DDw,NA,Dehradun Xylarium,,,,,,,DDw,Forest Research Institute,,,,15000,"India, Myanmar, Bangladesh, Pakistan",,,Last update: 2004,,,,,,Dehradun-248006,DEHRADUN,,,India,xylarium,,Y (elsewhere),25
74,KFRIw_NA,KFRIw,NA,Xylarium at Wood Science and Technology Division,,,,,,,KFRIw,Kerala Forest Research Institute,,,,587,"India, Kerala, Australia, Bangladesh, Brazil, Canada, China, Germany, Japan, Netherlands, Philippines, UK",,,Last update: 2015,,,http://www.kfri.res.in/xylarium.asp,,,"Peechi 680653, Trichur Dist; Kerala",KERALA,,,India,xylarium,,Y (elsewhere),40
75,,,,Birbal Sahni Institute of Palaeobotany,,,,,,,,,,,,3612,world,,,Last update: 1988,,,,,,"53, University Road, Lucknow-226007",LUCKNOW,,,India,xylarium,,Y (elsewhere),30
76,,,,Central Wood Testing Laboratory,,,,,,,,The Rubber Board,,,,250,"India, USA (135 specimens from MADISON collection), Africa, Europe, New Zealand, Australia, Brazil, Malaysia",,,Last update: 2016,,,,,,"Manganam Post, Kottayam, Kerala, Pin- 686018",KOTTAYAM,,,India,xylarium,,N,
77,BZFw_NA,BZFw,NA,Xylarium Bogoriense,,,,,,,BZFw,Forest Products Research and Development Center,,,,185647,Indonesia,,,Last update: 2018,,,,,,"Jl. Gunung Batu No. 5, Bogor 16610",BOGOR,,,Indonesia,xylarium,,Y (elsewhere),80
78,KARw_NA,KARw,NA,F.P.L. Wood Collection,,,,,,,KARw,"Forest Products Laboratory, College of Natural Resources, Karaj",,,,1000,"Iran, Turkey, Pakistan, Afghanistan; Tamarix, Haloxylon",,,Last update: 1988,,,,,,,KARAJ,,,Iran,xylarium,,Y,33
