"","name","decimallongitude","decimallatitude","city","country","address","source","type","geocoding.precision.m","geocoding.issue","geocoding.source","inside.ptoected.area.WDPAID","pais"
"104","Agricultural University of Athens, Laboratory of General and Agricultural Microbiology",23.7061,37.982,"Athens","GRC","Iera Odos 75","indexherbariorum","Herbarium",1000,NA,"JA",NA,"Greece"
"105","Agricultural University of Athens, Laboratory of Systematic Botany",23.7055,37.9827,"Athens","GRC",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Greece"
"106","Agricultural University of Nitra Botanic Garden",18.09315,48.30709,"Nitra","SVK",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Slovakia"
"108","Agricultural University of Norway, Department of Biology and Nature Conservation",10.768,59.6664,"Aas","NOR","Urbygningen","indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Norway"
"110","Agricultural University of Plovdiv, Botany Department",24.7655,42.1341,"Plovdiv","BGR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Bulgaria"
"111","Agriculture and Agri-Food Canada",-106.635,52.134,"Ottawa","CAN",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Canada"
"112","Agriculture and Agri-Food Canada",-106.635,52.134,"Ottawa","CAN","960 Carling Ave","indexherbariorum","Herbarium",10,NA,"automatic",NA,"Canada"
"119","Agriculture and Agri-Food Canada, Brandon Research Centre",-99.9618,49.8637,"Brandon","CAN","Grand Valley Road and 18th Street North","indexherbariorum","Herbarium",10,NA,"automatic",NA,"Canada"
"120","Agriculture and Agri-Food Canada, Grassland Applied Technology Centre",-120.4364,50.7159,"Kamloops","CAN",NA,"indexherbariorum","Herbarium",1000,NA,"JA",NA,"Canada"
"122","Agriculture and Agri-Food Canada, Saskatoon Research Centre",-106.6358,52.13337,"Saskatoon","CAN",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Canada"
"126","Agriculture Department",-6.4943,53.3471,"Dublin","IRL",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Ireland"
"131","Agriculture Research Center, Land Resource Sciences Section",-112.7636,49.6989,"Lethbridge","CAN",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Canada"
"133","Agriculture University, Department of Weed Science",71.4815,34.0216,"Peshawar","PAK",NA,"indexherbariorum","Herbarium",1000,NA,"JA",NA,"Pakistan"
"135","Agriculture Western Australia",115.88458,-31.9884,"Perth","AUS","3 Baron-Hay Court, Kensington","indexherbariorum","Herbarium",10,NA,"automatic",NA,"Australia"
"136","Agriculture, Fisheries, and Conservation Department",114.1266,22.5126,"Hong Kong","CHN",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"China"
"139","Ahmadu Bello University Herbarium",7.6548,11.1506,NA,"NGA",NA,"grbioorg","Herbarium",10,"general_institution","StS",NA,"Nigeria"
"143","Ain Shams University, Faculty of Science, Department of Botany",31.28612,30.07625,"Cairo","EGY",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Egypt"
"146","Aix-Marseille Universite, Faculte des Sciences de Saint-Charles, Laboratoire de Botanique, Case 4",5.3773,43.3045,"Marseille","FRA",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"France"
"148","Ajou University, Biological Sciences Department",127.04636,37.28213,"Suwon","KOR","5 San, Wonchun-dong, Paldal-gu","indexherbariorum","Herbarium",10,NA,"automatic",NA,"South Korea"
"149","Ajtte Museum",19.8425,66.6042,NA,"SWE","Ajtte, Svenskt Fjall- och Samemuseum, Box 116","GBIF","Museum",10,NA,"automatic",NA,"Sweden"
"150","Ajtte Museum",19.8411,66.604,NA,"SWE","Ajtte, Svenskt Fjall- och Samemuseum, Box 116","GBIF","Museum",10,NA,"automatic",NA,"Sweden"
"152","Akita Prefectural Museum",140.4387,39.4368,"Akita City","JPN",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Japan"
"153","Akita Prefectural Museum",140.4387,39.4368,"Akita City","JPN",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Japan"
"154","Akita Prefectural Museum",140.06623,39.8174,"Akita City","JPN",NA,"indexherbariorum","Herbarium",10,NA,"automatic",555572238,"Japan"
"155","Aksaray University, ASUBTAM, Campus",34.0297,38.3686,"Aksaray","TUR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Turkey"
"158","Al-Mustansiriya University",44.4003,33.3648,"Baghdad","IRQ",NA,"indexherbariorum","Herbarium",1000,NA,"JA",NA,"Iraq"
"159","Al Ain Zoo",55.7388,24.1739,"Abu Dhabi","ARE",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United Arab Emirates"
"160","Al Ain Zoo",55.73955,24.17922,"Abu Dhabi","ARE",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United Arab Emirates"
"161","Alabama Museum of Natural History",-87.5439,33.2119,NA,"USA",NA,"GBIF","Museum",10,NA,"automatic",NA,"United States"
"165","Alaska State Museum",-134.4146,58.3003,"Juneau","USA",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"166","Alaska State Museum",-134.4146,58.3003,"Juneau","USA",NA,"grbioorg","Museum",10,NA,"automatic",NA,"United States"
"167","Albany Museum",26.5219,-33.3134,"Grahamstown","ZAF",NA,"grbioorg","Museum",10,NA,"automatic",NA,"South Africa"
"168","Albany Museum",26.5219,-33.3134,NA,"ZAF",NA,"grbioorg","Museum",10,NA,"automatic",NA,"South Africa"
"169","Albany Museum",26.5219,-33.3134,NA,"ZAF",NA,"grbioorg","Museum",10,NA,"automatic",NA,"South Africa"
"170","Albany Museum",26.5219,-33.3134,NA,"ZAF",NA,"grbioorg","Museum",10,NA,"automatic",NA,"South Africa"
"171","Albany Museum",26.5219,-33.3134,"Grahamstown","ZAF",NA,"wikipedia","Museum",10,NA,"automatic",NA,"South Africa"
"172","Albany Museum",26.5219,-33.3134,"Grahamstown","ZAF","Somerset Street","GBIF","Museum",10,NA,"automatic",NA,"South Africa"
"173","Albany Museum",26.52189,-33.31343,"Grahamstown","ZAF",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"South Africa"
"175","Albert-Ludwigs Universitat, Lehrstuhl fur Geobotanik, Institut fur Biologie II",7.8576,48.00992,"Freiburg","DEU",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Germany"
"177","Albertson College of Idaho, Orma J Smith Museum of Natural History",-116.6777,43.6529,NA,"USA",NA,"grbioorg","Museum",10,NA,"StS",NA,"United States"
"178","Albertson College, Museum of Natural History",NA,NA,NA,"USA",NA,"grbioorg","Museum",NA,NA,"MA",NA,"United States"
"180","Albion College, Biology Department",-84.7471,42.2438,"Albion","USA","609 Porter Street","indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"181","Albion College, Biology Department",-84.74518,42.24401,"Albion","USA","609 Porter Street","indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"182","Albury Botanic Garden",146.90908,-36.08101,"Albury","AUS",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Australia"
