"","name","decimallongitude","decimallatitude","city","country","address","source","type","geocoding.precision.m","geocoding.issue","geocoding.source","inside.ptoected.area.WDPAID","pais"
"836","Botanische Tuin Afrikaanderwijk",4.50273,51.89965,"Rotterdam","NLD",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Netherlands"
"837","Botanischer Garten der Carl von Ossietzky-Universitat Oldenburg",8.19798,53.14749,"Oldenburg","DEU",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Germany"
"838","Botanischer Garten der Johannes Gutenberg-Universitat Mainz",8.24071,49.99081,"Mainz","DEU",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Germany"
"839","Botanischer Garten der Philipps-Universitat Marburg",8.80931,50.80176,"Marburg","DEU",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Germany"
"840","Botanischer Garten der Technischen Universitaet Dresden",13.7585,51.0436,"Dresden","DEU",NA,"BCGI","Botanic_garden",1000,NA,"VZ",NA,"Germany"
"841","Botanischer Garten der Universitat Basel",7.58171,47.55909,"Basel","CHE",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Switzerland"
"842","Botanischer Garten der Universitat Bern",7.4449,46.9527,NA,"CHE",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Switzerland"
"843","Botanischer Garten der Universitat Bern",7.43812,46.95049,NA,"CHE",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Switzerland"
"844","Botanischer Garten der Universitat Erlangen - Nurnberg",11.0062,49.5989,"Erlangen","DEU",NA,"BCGI","Botanic_garden",1000,NA,"VZ",NA,"Germany"
"845","Botanischer Garten der Universitat Heidelberg",8.66914,49.41525,"Heidelberg","DEU",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Germany"
"846","Botanischer Garten der Universitat Kiel",10.11669,54.34747,"Kiel","DEU",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Germany"
"847","Botanischer Garten der Universitat Potsdam",13.02575,52.40379,"Potsdam","DEU",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Germany"
"848","Botanischer Garten der Universitat Zurich",8.5605,47.3585,"Zurich","CHE",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Switzerland"
"849","Botanischer Garten Munchen-Nymphenburg",11.50027,48.16264,"Munchen","DEU",NA,"BCGI","Botanic_garden",10,NA,"automatic",396137,"Germany"
"850","Botanischer Garten Rombergpark, Stadt Dortmund",7.4673,51.4822,"Dortmund","DEU",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Germany"
"852","Botanischer Garten und Botanisches Museum Berlin-Dahlem",13.30635,52.45607,"Berlin","DEU",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Germany"
"853","Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universitaet",13.3064,52.4561,"Berlin","DEU","Herbarium Botanischer Garten und Botanisches Museum Berlin-Dahlem Koenigin-Luise-Strasse 6-8","grbioorg","Museum",10,NA,"automatic",NA,"Germany"
"854","Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universitat Berlin",13.3064,52.4561,"Berlin","DEU",NA,"indexherbariorum","Herbarium",1000,NA,"RS",NA,"Germany"
"855","Botanischer Garten, Universitat Graz",15.45689,47.08176,"Graz","AUT",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Austria"
"858","Botswana College of Agriculture",NA,NA,"Gaborone","BWA","Content Farm, Sebele","indexherbariorum","Herbarium",NA,NA,"JA",NA,"Botswana"
"859","Botswana National Museum",25.9243,-24.6546,"Gaborone","BWA",NA,"wikipedia","Museum",1000,NA,"JA",NA,"Botswana"
"863","Bowling Green State University, Biological Sciences Department",-83.6301,41.3799,"Bowling Green","USA","217 Life Sciences Bldg, North College Ave","indexherbariorum","Herbarium",1000,NA,"CD",NA,"United States"
"864","Boyce Thompson Arboretum",-111.1547,33.2785,"Superior","USA",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United States"
"865","Boyce Thompson Arboretum",-111.159,33.2793,"Superior","USA",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United States"
"866","Boyce Thompson Arboretum",-111.1573,33.2795,"Superior","USA",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United States"
"867","Boyce Thompson Arboretum",-111.15989,33.28074,"Superior","USA",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United States"
"868","Boyce Thompson Arboretum Desert Legume Program",-110.70028,32.00194,"Tucson","USA",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United States"
"869","Boys Grammar School, Victoria College",-2.09583,49.18583,"Saint Helier",NA,NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,NA
"870","Boys Grammar School, Victoria College",-2.09583,49.18583,"Saint Helier","JEY",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Jersey"
"871","Boys High School",0.6943,51.5539,"Scarborough","GBR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United Kingdom"
"873","Bozhou Vocational and Technical College",115.7617,33.8472,"Bozhou","CHN","1625 YaoDu Road","indexherbariorum","Herbarium",10,NA,"automatic",NA,"China"
"875","Bradford Art Galleries and Museums",-1.7717,53.8121,"Bradford","GBR",NA,"grbioorg","Museum",1000,"insecure_institution_quality","AH",NA,"United Kingdom"
"876","Bradford Art Galleries and Museumstural Sciences Department",NA,NA,"Bradford","GBR",NA,"indexherbariorum","Herbarium",NA,NA,"CD",NA,"United Kingdom"
"879","Brathay Field Centre for Exploration and Field Studies",NA,NA,"Ambleside","GBR",NA,"indexherbariorum","Herbarium",NA,NA,"VZ",NA,"United Kingdom"
"884","Bridge of Allan Museum",NA,NA,"Bridge Of Allan","GBR",NA,"indexherbariorum","Herbarium",NA,NA,"VZ",NA,"United Kingdom"
"885","Bridger Teton National Forest",-110.2427,43.926,"Jackson","USA",NA,"indexherbariorum","Herbarium",10,NA,"automatic",375788,"United States"
"888","Bridgewater College, Biology Department",-78.96939,38.37888,"Bridgewater","USA",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"889","Brigham Young University",-81.1858,28.5751,"Provo","USA","Monte L Bean Life Science Museumroom 3115","indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"891","Brigham Young University - Idaho, Department of Biology",-111.78275,43.81815,"Rexburg","USA",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"892","Brigham Young University - SL Welsh Herbarium",-111.6513,40.2529,"Provo","USA","Monte L. Bean Life Science Museum. Brigham Young University 375 MLBM","grbioorg","Herbarium",1000,NA,"HF",NA,"United States"
"895","Brighton Public Library, Borough of Brighton",-73.96654,40.57629,"Brighton",NA,NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,NA
"896","Brighton Public Library, Borough of Brighton",-73.96654,40.57629,"Brighton","GBR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United Kingdom"
"897","Brisbane Botanic Gardens",152.97971,-27.47538,"Toowong","AUS",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Australia"
"899","Bristol City Library",-2.60209,51.4516,"Bristol","GBR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United Kingdom"
"900","Bristol City Museum and Art Gallery",-2.6053,51.4561,"Bristol","GBR",NA,"wikipedia","Museum",1000,NA,"CD",NA,"United Kingdom"
"901","Bristol Museum",-2.6053,51.4561,NA,"GBR",NA,"grbioorg","Museum",10,NA,"StS",NA,"United Kingdom"
"902","Bristol Museum and Art Gallery",-2.6053,51.4561,"Bristol","GBR",NA,"grbioorg","Museum",1000,NA,"AH",NA,"United Kingdom"
"903","Bristol Museum and Art Gallery, Biology Section",-2.6053,51.4561,"Bristol","GBR",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"United Kingdom"
"904","Bristol Museum and Art Gallery, Bristol Naturalists Society",-2.60526,51.45613,"Bristol","GBR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United Kingdom"
"905","Bristol Museum and Philosophical Society",-2.60526,51.45613,"Bristol","GBR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United Kingdom"
"908","Bristol Zoo Gardens",-2.6223,51.4634,"Bristol","GBR",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United Kingdom"
"909","Bristol Zoo Gardens",-2.62254,51.46376,"Bristol","GBR",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United Kingdom"
"910","Bristol, Clifton and West of England Zoological Society s Gardens",-2.62254,51.46376,"Bristol","GBR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United Kingdom"
"912","British (Empire) Naturalists Association",-0.12377,51.51633,"London","GBR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United Kingdom"
"914","British Antarctic Survey, Biosciences Division",0.08,52.213,"Cambridge","GBR",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"United Kingdom"
"917","British Columbia Ministry of Forests, Research Section",-122.13526,52.12689,"Williams Lake","CAN",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Canada"
"918","British Columbia Provincial Museum",-123.3675,48.4198,NA,"CAN",NA,"grbioorg","Museum",1000,NA,"NW",NA,"Canada"
"921","British Institute of Archaeology",32.86476,39.90295,"Ankara","TUR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Turkey"
"924","Brock University",-123.2521,49.2686,"Saint Catharines","CAN","500 Glenridge Avenue","indexherbariorum","Herbarium",10,NA,"automatic",NA,"Canada"
"925","Brock University",-79.2467,43.1202,"Saint Catharines","CAN","500 Glenridge Avenue","indexherbariorum","Herbarium",10,NA,"automatic",NA,"Canada"
"926","Brock University",-79.2494,43.1196,"Saint Catharines","CAN","500 Glenridge Avenue","indexherbariorum","Herbarium",10,NA,"automatic",NA,"Canada"
"929","Bromley House Library",-1.1518,52.9537,"Nottingham","GBR",NA,"indexherbariorum","Herbarium",1000,NA,"CD",NA,"United Kingdom"
"930","Brooklyn Botanic Garden",-73.9651,40.6689,"Bronx","USA",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"932","Brooklyn Botanic Garden",-73.9637,40.6678,"Brooklyn","USA",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United States"
"933","Brooklyn Botanic Garden",-73.9637,40.6678,"Brooklyn","USA",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United States"
"934","Brooklyn Botanic Garden",-73.96507,40.66889,"Brooklyn","USA",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United States"
"935","Brooklyn Children s Museum",-73.944,40.6744,NA,"USA",NA,"grbioorg","Museum",10,NA,"StS",NA,"United States"
"937","Brown University, Dept of Ecology and Evolutionary Biology",-71.4057,41.8264,"Providence","USA","34 Olive St","indexherbariorum","Herbarium",1000,"general_institution","JA",NA,"United States"
"940","Brukenthal National Museum Museum of Natural History",24.15,45.7927,"Sibiu","ROU","Str Cetatii, Nr 1","grbioorg","Museum",10,NA,"automatic",NA,"Romania"
"941","Brunei Forestry Centre",114.4962,4.6724,"Belait","BRN","Belait District","indexherbariorum","Herbarium",1000,NA,"JA",NA,"Brunei"
"942","Brunei Museum",NA,NA,NA,"BRN",NA,"grbioorg","Museum",NA,NA,"TA",NA,"Brunei"
"944","Bryansk State University, Department of Botany",34.3483,53.2387,"Bryansk","RUS",NA,"indexherbariorum","Herbarium",1000,NA,"RS",NA,"Russia"
"947","Bu-Ali Sina University, Department of Biology",48.48982,34.79114,"Hamedan","IRN",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Iran"
"948","Bucegi Natural Park Museum",25.5525,45.3539,"Sinaia","ROU",NA,"wikipedia","Museum",1000,NA,"RS",NA,"Romania"
"949","Buckinghamshire County Museum Technical Centre",-0.81496,51.8172,"Aylesbury","GBR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United Kingdom"
"951","Bucknell University, Biology Department",-76.8856,40.9551,"Lewisburg","USA",NA,"indexherbariorum","Herbarium",1000,NA,"JA",NA,"United States"
"952","Budapest Zoo  Botanical Garden",19.0767,47.5187,"Budapest","HUN",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Hungary"
"953","Budapest Zoo  Botanical Garden",19.07764,47.519,"Budapest","HUN",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Hungary"
"955","Buergermeister Mueller, Museum",10.9921,48.8921,NA,"DEU",NA,"grbioorg","Museum",10,NA,"MA",NA,"Germany"
"956","Buffalo Bill Museum",-109.0733,44.525,NA,"USA",NA,"grbioorg","Museum",10,NA,"MA",NA,"United States"
"957","Buffalo Museum of Science",-78.8424,42.9072,"Buffalo","USA",NA,"indexherbariorum","Herbarium",1000,NA,"CD",NA,"United States"
"958","Buffalo State College, Biology Department",-78.8786,42.9403,"Buffalo","USA","1600 Elmwood Ave","indexherbariorum","Herbarium",1000,NA,"RS",NA,"United States"
"959","Buffelskloof Nature Reserve",37.5321,0.7334,"Lydenburg","ZAF",NA,"indexherbariorum","Herbarium",10,NA,"automatic",555555496,"South Africa"
"962","Building Research Establishment, Centre for Timber Technology and Construction",-0.37155,51.6994,"Watford","GBR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United Kingdom"
"963","Bukittinggi Zoological Museum",100.3705,-0.3007,"Bukittingi","IDN",NA,"wikipedia","Museum",1000,NA,"CD",NA,"Indonesia"
"964","Bulent Ecevit University",-89.5254,34.3659,NA,"USA",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"967","Bulgarian Academy of Sciences, Institute of Biodiversity and Ecosystem Research",NA,NA,"Sofia","BGR","2 Gagarin Street","indexherbariorum","Herbarium",NA,NA,"JA",NA,"Bulgaria"
"971","Bundesamt fur Naturschutz",7.1756,50.6758,"Bonn","DEU",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Germany"
"972","Bundesamt fur Naturschutz",13.5318,54.3253,"Bonn","DEU",NA,"indexherbariorum","Herbarium",10,NA,"automatic",319941,"Germany"
"973","Bundesamt fur Naturschutz",7.1756,50.6758,"Bad Godesberg","DEU",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Germany"
"974","Bundesamt fur Naturschutz",13.5318,54.3253,"Bad Godesberg","DEU",NA,"indexherbariorum","Herbarium",10,NA,"automatic",319941,"Germany"
"975","Bundesamt fur Naturschutz",7.17551,50.67581,"Bonn","DEU",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Germany"
"976","Bundesamt fur Naturschutz",7.17551,50.67581,"Bad Godesberg","DEU",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Germany"
"979","Bundner Naturmuseum",9.5343,46.8543,"Chur","CHE","Masanserstrasse 31","grbioorg","Museum",10,NA,"automatic",NA,"Switzerland"
"980","Bundner Naturmuseum",9.5344,46.8542,"Chur","CHE",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Switzerland"
"981","Bungay Botanical Society",NA,NA,"Bungay","GBR",NA,"indexherbariorum","Herbarium",NA,NA,"VZ",NA,"United Kingdom"
"983","Bureau of Land Management",-120.35,42.1699,"Lakeview","USA",NA,"indexherbariorum","Herbarium",1000,NA,"JA",NA,"United States"
"984","Bureau of Land Management Arcata Field Office",-124.0895,40.9009,"Arcata","USA","1695 Heindon Rd","indexherbariorum","Herbarium",1000,NA,"JA",NA,"United States"
"985","Bureau of Land Management, Field Office",-114.3259,34.4544,"Vernal","USA",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"986","Bureau of Land Management, Prineville Field Office",-120.814,44.3034,"Prineville","USA","3050 NE Third St","indexherbariorum","Herbarium",1000,NA,"JA",NA,"United States"
"987","Bureau of Land Management, Winnemucca District",-117.71366,40.97667,"Winnemucca","USA",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"989","Burgas Museum",27.9436,42.1001,NA,"BGR",NA,"wikipedia","Museum",10,NA,"automatic",176828,"Bulgaria"
"990","Burgenlandische Landesmuseum",16.5173,47.8464,"Eisenstadt","AUT",NA,"wikipedia","Museum",1000,NA,"CD",NA,"Austria"
"991","Burgenlandisches Landesmuseum",16.5172,47.8464,NA,"AUT",NA,"grbioorg","Museum",10,NA,"MA",NA,"Austria"
"992","Burgermeister-Muller-Museum",10.9924,48.892,"Solnhofen","DEU",NA,"wikipedia","Museum",10,NA,"automatic",NA,"Germany"
"993","Burpee Museum of Natural History",-89.0882,42.2773,NA,"USA",NA,"grbioorg","Museum",10,NA,"MA",NA,"United States"
"994","Burpee Museum Rockford Paleontology",-89.0881,42.2773,NA,"USA",NA,"grbioorg","Museum",10,"insecure_location_quality","StS",NA,"United States"
"995","Burren Nature Sanctuary",-8.92783,53.12866,NA,"IRL",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Ireland"
"996","Burton-upon-Trent Natural History and Archaeological Society",-1.6371,52.814,"Burton-Upon-Trent","GBR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United Kingdom"
"998","Burton Constable Foundation",-0.1916,53.7968,"Sproatley","GBR",NA,"indexherbariorum","Herbarium",1000,NA,"CD",NA,"United Kingdom"
"1000","Buryat State University, Department of Botany",107.5813,51.829,"Ulan-Ude","RUS","24a Floor, Smolina Street","indexherbariorum","Herbarium",10,NA,"automatic",NA,"Russia"
"1001","Buteshire Natural History Society, The Museum",-5.0548,55.8359,"Rothesay","GBR",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"United Kingdom"
"1002","Butler University",-86.172,39.8404,"Indianapolis","USA","4600 Sunset Avenue","indexherbariorum","Herbarium",1000,NA,"CD",NA,"United States"
"1003","Butler University, Friesner Herbarium",-86.1721,39.8402,"Indianapolis","USA","Campus Universitrio - BR 364, km 04 - Distrito industrial","GBIF","Herbarium",1000,NA,"RS",NA,"United States"
"1004","Butterfly and Insect Museum",-86.8034,15.7611,"La Ceiba","HND",NA,"wikipedia","Museum",1000,NA,"CD",NA,"Honduras"
"1005","Buxton Museum  Art Gallery",-1.9131,53.257,"Buxton","GBR",NA,"wikipedia","Museum",1000,NA,"CD",NA,"United Kingdom"
"1008","c/o North Queensland Naturalists Club",145.7528,-16.9044,"Cairns","AUS",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Australia"
"1010","CABI Bioscience UK Centre",-0.5703,51.4189,"Egham","GBR",NA,"indexherbariorum","Herbarium",1000,NA,"JA",NA,"United Kingdom"
"1016","Cadi Ayyad University, Faculty of Sciences Semlalia, Marrakesh",-8.0203,31.6446,"Marrakesh","MAR",NA,"indexherbariorum","Herbarium",1000,NA,"CD",555569982,"Morocco"
"1021","Cairo University, Faculty of Science, Botany Department",31.20806,30.01814,"Cairo","EGY","Old Botany Department Building, University Campus, Cairo University Street","indexherbariorum","Herbarium",10,NA,"automatic",NA,"Egypt"
"1024","Calcutta University, Botany Department",88.36263,22.57484,"Kolkata","IND",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"India"
"1029","California Academy of Sciences Herbarium",-122.4661,37.7698,"San Francisco","USA","California Academy of Sciences 55 Music Concourse Drive","grbioorg","Herbarium",10,NA,"StS",NA,"United States"
"1030","California Academy of Sciences, Botany Department",-122.4707,37.7699,"San Francisco","USA",NA,"indexherbariorum","Herbarium",1000,"general_institution","JA",NA,"United States"
"1031","California Academy of Sciences, Department of Botany",-122.4684,37.7707,"San Francisco","USA",NA,"indexherbariorum","Herbarium",1000,NA,"JA",NA,"United States"
"1032","California Academy of Sciences, Dudley Herbarium",-122.404,37.782,"San Francisco","USA","875 Howard Street, San Francisco, California, 94103","grbioorg","Herbarium",10,NA,"automatic",NA,"United States"
"1036","California Department of Food and Agriculture, Plant Pest Diagnostics Branch",-121.4693,38.48118,"Sacramento","USA",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"1037","California Department of Food and Agriculture, Plant Pest Diagnostics Branch",-121.4693,38.48118,"Sacramento","USA",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"1040","California Polytechnic State University, Biological Sciences Department",-120.6638,35.3051,"San Luis Obispo","USA","352/359 Fisher Hall","indexherbariorum","Herbarium",1000,NA,"CD",NA,"United States"
"1045","California State Polytechnic University, Biological Sciences Department",-117.8215,34.0566,"Pomona","USA","3801 West Temple Avenue","indexherbariorum","Herbarium",1000,NA,"CD",NA,"United States"
"1056","California State University Channel Islands",-119.0434,34.1621,"Camarillo","USA","One University Drive","indexherbariorum","Herbarium",1000,NA,"RS",NA,"United States"
"1057","California State University, Biological Science Department",-117.8888,33.8791,"Fullerton","USA","800 North State College Boulevard","indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"1058","California State University, Biological Science Department",-117.88558,33.87975,"Fullerton","USA","800 North State College Boulevard","indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"1059","California State University, Biological Sciences Department",-121.4236,38.55975,"Sacramento","USA",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"1060","California State University, Biology Department",-120.85689,37.52457,"Turlock","USA",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"1061","California State University, Chico",-121.8476,39.7273,"Chico","USA",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"1063","California State University, Chico Vertebrate Museum",-121.8463,39.7281,"Chico","USA",NA,"GBIF","Museum",1000,NA,"RS",NA,"United States"
"1064","California State University, Chico, Vertebrate Museum",-121.8463,39.7281,NA,"USA",NA,"grbioorg","Museum",1000,NA,"NW",NA,"United States"
"1065","California State University, Department of Biological Sciences",-118.1736,34.0622,"Los Angeles","USA","5151 State University Drive","indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"1066","California State University, Department of Biological Sciences",-118.16765,34.06564,"Los Angeles","USA","5151 State University Drive","indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"1067","California State University, Department of Biology",-117.1047,32.8403,"Northridge","USA",NA,"indexherbariorum","Herbarium",1000,NA,"CD",NA,"United States"
"1072","California State University, San Bernardino, Biology Department",-117.3237,34.183,"San Bernardino","USA",NA,"indexherbariorum","Herbarium",1000,NA,"CD",NA,"United States"
"1074","Calke Abbey",-1.4573,52.8002,"Calke","GBR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",555581228,"United Kingdom"
"1076","Calvin College",-85.5884,42.9292,"Grand Rapids","USA",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"1078","Camberley Museum",-0.7429,51.3391,"Camberley","GBR",NA,"grbioorg","Museum",1000,NA,"AH",NA,"United Kingdom"
"1082","Cambridge University Botanic Garden",0.1258,52.1935,"Cambridge","GBR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United Kingdom"
"1084","Cambridge University Botanic Garden",0.1281,52.1934,"Cambridge","GBR",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United Kingdom"
"1085","Cambridge University Botanic Garden",0.12576,52.19349,"Cambridge","GBR",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United Kingdom"
"1086","Cambridge University Museum of Zoology",0.1205,52.2028,"Cambridge","GBR",NA,"wikipedia","Museum",1000,NA,"CD",NA,"United Kingdom"
"1087","Cambridge University, Sainsbury Laboratory",0.1275,52.1961,"Cambridge","GBR",NA,"indexherbariorum","Herbarium",1000,NA,"CD",NA,"United Kingdom"
"1089","Cameron University, Department of Biological Sciences",-98.4328,34.6089,"Lawton","USA","2800 West Gore Boulevard","indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"1090","Cameroon National Herbarium",-119.6982,34.4208,"Yaound","CMR",NA,"GBIF","Herbarium",10,NA,"automatic",NA,"Cameroon"
"1091","Cameroon University, Museum of Zoology",-98.4335,34.6059,NA,"USA",NA,"grbioorg","Museum",10,"general_institution","StS",NA,"United States"
"1093","Campbell University, Department of Biology",-78.739,35.4102,"Buies Creek","USA","205 Day Dorm Road","indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"1095","Campus Universitario de Tafira, Facultad de Ciencias del Mar, Departamento de Biologia",-15.4203,28.099,"Las Palmas De Gran Canaria","ESP",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Spain"
"1100","Canadian Food Inspection Agency / Genotyping/Botany",-75.7698,45.287,"Ottawa","CAN","3851 Fallowfield Rd","indexherbariorum","Herbarium",10,NA,"automatic",NA,"Canada"
"1102","Canadian Forest Service",-75.70588,45.39989,"Ottawa","CAN",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Canada"
"1104","Canadian Forest Service - Atlantictural Resources Canada",-57.937,48.9393,"Corner Brook","CAN","Forest Centre, Sir Wilfred Grenfell College","indexherbariorum","Herbarium",1000,"general_institution","JA",NA,"Canada"
"1108","Canadian Museum of Nature",-75.6887,45.4128,"Ottawa","CAN","240 McLeod Street","grbioorg","Museum",10,NA,"automatic",NA,"Canada"
"1109","Canadian Museum of Nature, Bryology Section",-75.8108,45.4423,"Ottawa","CAN","1740 Pink Road, Aylmer, Quebec","indexherbariorum","Herbarium",10,NA,"automatic",NA,"Canada"
"1110","Canadian Museum of Nature, Lichenology Section",-75.8108,45.4423,"Ottawa","CAN","1740 Pink Road, Aylmer, Quebec","indexherbariorum","Herbarium",10,NA,"automatic",NA,"Canada"
"1111","Canadian Museum of Nature, Phycology Section",-75.8108,45.4423,"Ottawa","CAN","1740 Pink Road, Aylmer, Quebec","indexherbariorum","Herbarium",10,NA,"automatic",NA,"Canada"
"1112","Canadian Museum of Nature, Vascular Plant Section",-75.8108,45.4423,"Ottawa","CAN","1740 Pink Road, Aylmer, Quebec","indexherbariorum","Herbarium",10,NA,"automatic",NA,"Canada"
"1115","Canadian National Mycological Herbarium",-75.7233,45.3938,"Ottawa","CAN","Wm. Saunder's Bldg., CEF, ECORC, Agriculture and Agri-Food Canada 960 Carling Ave.","grbioorg","Herbarium",1000,NA,"HF",NA,"Canada"
"1120","Canakkale Onsekiz Mart University, Faculty of Science and Arts, Terzioglu Campus, Biology Department",26.4166,40.1099,"anakkale","TUR",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Turkey"
"1123","Canisius College, Biology Department",-78.8515,42.9248,"Buffalo","USA",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"United States"
"1125","Canterbury Literary and Philosophical Institution, Museum",1.07919,51.27963,"Canterbury","GBR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United Kingdom"
"1126","Canterbury Museum",172.6268,-43.5309,"Christchurch","NZL",NA,"grbioorg","Museum",10,NA,"automatic",NA,"New Zealand"
"1127","Canterbury Museum",172.6268,-43.5309,NA,"NZL",NA,"grbioorg","Museum",10,NA,"automatic",NA,"New Zealand"
"1128","Canterbury Museum",172.6268,-43.5309,NA,"NZL",NA,"grbioorg","Museum",10,NA,"automatic",NA,"New Zealand"
"1129","Canterbury Museum",172.627,-43.531,"Christchurch","NZL",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"New Zealand"
"1130","Canterbury Museum",172.62696,-43.53082,"Christchurch","NZL",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"New Zealand"
"1131","Canterbury Museum",172.627,-43.531,"Christchurch","NZL",NA,"wikipedia","Museum",10,NA,"automatic",NA,"New Zealand"
"1132","Cantonal Museum of Geology",6.634,46.5236,"Lausanne","CHE",NA,"wikipedia","Museum",1000,NA,"CD",NA,"Switzerland"
"1135","Capital Normal University, Biology Department",116.4702,39.2405,"Beijing","CHN","Fucheng Men Wai","indexherbariorum","Herbarium",1000,NA,"VZ",NA,"China"
