order,source,family,family.obs,full.name1,tdwg.name
7476,herbaria,Euphorbiaceae,NA,Luciana dos Santos Dias de Oliveira,"Oliveira, L.S.D."
7477,herbaria,Euphorbiaceae?,NA,,"Santamaria, D."
7478,herbaria,Euphorbiaceae?,NA,,"Sec, S.D."
7479,herbaria,Euphorbiaceae,NA,OTÁVIO LUIS MARQUES DA SILVA,"Silva, O.L.M."
7480,herbaria,Floristics/Generalist (all families),NA,Lyman Bradford Smith,"Smith, L.B."
7481,herbaria,Euphorbiaceae,NA,Ana Angélica Cordeiro de Sousa,"Sousa, A.A.C."
7482,herbaria,Euphorbiaceae,NA,Sarah Maria Athiê de Souza,"Souza, S.M.A."
7483,herbaria,Euphorbiaceae,NA,Sarah Maria Athiê de Souza,"Athie-Souza, S.M."
7484,herbaria,Euphorbiaceae?,NA,,"Van, W.P."
7485,herbaria,Fabaceae?,NA,,"Saynes V., A."
7486,herbaria,Fabaceae,NA,Mary T. Kalin de Arroyo,"Arroyo, M.T.K."
7487,herbaria,Fabaceae?,NA,,"Barros, M."
7488,herbaria,Fabaceae,NA,Francismeire Bonadeu,"Bonadeu, F."
7489,herbaria,Fabaceae,NA,Arturo Burkart,"Burkart, A."
7490,herbaria,Floristics/Generalist (all families),NA,Earl Celestino de Oliveira Chagas,"Chagas, E.C.O."
7491,herbaria,Fabaceae?,NA,,"Coelho, L.F."
7492,herbaria,Floristics/Generalist (all families),NA,Juliano Cordeiro,"Cordeiro, J."
7493,herbaria,Fabaceae,NA,Adolpho Ducke,"Ducke, A."
7494,herbaria,Fabaceae,NA,Ramiro Cruz Durán,"Duran, R.C."
7495,herbaria,Fabaceae?,NA,E.F. Cabrera-Cano,E.F.Cabrera C.
7496,herbaria,Fabaceae?,NA,E.F. Cabrera-Cano,"Cabrera-Cano, E.F."
7497,herbaria,Fabaceae,NA,John E. Ebinger,"Ebinger, J.E."
7498,herbaria,Fabaceae,NA,José Martins Fernandes,"Fernandes, J.M."
7499,herbaria,Fabaceae,Machaerium,Fabiana Luiza Ranzato Filardi,"Filardi, F.L.R."
7500,herbaria,Fabaceae?,NA,,"Flores, G."
7501,herbaria,Fabaceae,NA,José Salvador Flores,"Flores, J.S."
7502,herbaria,Fabaceae?,NA,,"Fonseca, M.L."
7503,herbaria,Fabaceae?,NA,,G. Flores F.
7504,herbaria,Fabaceae?,NA,Roy E. Gereau,"Gereau, R.E."
7505,herbaria,Fabaceae,NA,Rosaura Grether,"Grether, R."
7506,herbaria,Berberidaceae,NA,Gerdt Guenther Hatschbach,Hatschbach
7507,herbaria,Fabaceae,NA,Héctor Manuel Hernández Macías,"Hernandez, H.M."
7508,herbaria,Fabaceae,NA,Colin E. Hughes,"Hughes, C."
7509,herbaria,Fabaceae,NA,Colin E. Hughes,"Hughes, C.E."
7510,herbaria,Fabaceae,Cassia,Howard S. Irwin,"Irwin, H.S."
7511,herbaria,Fabaceae?,NA,,Jmap
7512,herbaria,Fabaceae,NA,Bente B. Klitgaard,"Klitgaard, B.B."
7513,herbaria,Fabaceae,NA,B.A. Krukoff,"Krukoff, B.A."
7514,herbaria,Fabaceae,NA,Maria de Lourdes Rico,L. Rico A.
7515,herbaria,Fabaceae,NA,Marli Pires Morim de Lima,"Lima, M.P.M."
7516,herbaria,Fabaceae,NA,José L. Linares,"Linares, J.L."
7517,herbaria,Fabaceae,Lonchocarpus,Mario Sousa-Sánchez,"Sanchez, M.S."
7518,herbaria,Floristics/Generalist (all families),NA,Waldir Mantovani,"Mantovani, W."
7519,herbaria,Fabaceae,NA,Milena Ventrichi Martins,"Martins, M.V."
7520,herbaria,Fabaceae,Enterolobium,A. L. Mesquita,"Mesquita, A.L."
7521,herbaria,Fabaceae,NA,Ivan Nielsen,"Nielsen, I."
7522,herbaria,Fabaceae,NA,Oswaldo Téllez-Valdés,"Tellez V., O."
7523,herbaria,Fabaceae?,NA,,"Palacios, R."
7524,herbaria,Fabaceae,NA,Les Pedley,"Pedley, L."
7525,herbaria,Fabaceae,Inga,Terence Dale Pennington,"Pennington, T.D."
7526,herbaria,Fabaceae,Inga,Terence Dale Pennington,"J. R. Pennington, T.D."
7527,herbaria,Floristics/Generalist (all families),NA,Benedito A. da S. Pereira,"Pereira, B.A.S."
7528,herbaria,Fabaceae,NA,David J. Du Puy,"Puy, D."
7529,herbaria,Fabaceae,NA,David J. Du Puy,"Puy, D.J.D."
7530,herbaria,Fabaceae,NA,Rosaura Grether,R. Grether G.
7531,herbaria,Fabaceae?,NA,,"Ramirez, J.G."
7532,herbaria,Floristics/Generalist (all families),NA,José Ferreira Ramos,"Ramos, J.F."
7533,herbaria,Fabaceae,NA,Karen M. Redden,"Redden, K.M."
7534,herbaria,Fabaceae,Mimosa,Osmar S. Ribas,"Ribas, O.S."
7535,herbaria,Fabaceae,NA,"Pétala G. Ribeiro,","Ribeiro, P.G."
7536,herbaria,Fabaceae,NA,Robson Daumas Ribeiro,"Ribeiro, R.D."
7537,herbaria,Fabaceae,Mimosaceae,Maria de Lourdes Rico,"Rico, L."
7538,herbaria,Fabaceae?,NA,,"Romero, C."
7539,herbaria,Floristics/Generalist (all families),NA,Nelson de Araújo Rosa,"Rosa, N.A."
