order,collection.string,collectioncode.gbif,institutioncode.gbif,name,rightsholder,index.herbariorum.or.working.code,organization,branch,department,section,OBS
1739,CIR_NA,CIR,NA,NA,NA,CIR,Royal Agricultural College,NA,NA,Herbarium,
1740,CIS_NA,CIS,NA,NA,NA,CIS,Academia Sinica and State Planning Commission,Commission for Integrated Survey of Natural Resources,NA,Herbarium,
1741,CIT_NA,CIT,NA,NA,NA,CIT,"Citrus Research Institute, Chinese Academy of Agricultural Sciences",NA,NA,Herbarium,
1742,CITA_NA,CITA,NA,NA,NA,CITA,The Citadel,NA,Biology Department,Herbarium,
1743,CKE_NA,CKE,NA,NA,NA,CKE,Calke Abbey,NA,NA,Herbarium,
1744,CL_NA,CL,NA,NA,NA,CL,Babes-Bolyai University,NA,A. Borza Botanical Garden,Herbarium,
1745,CLA_NA,CLA,NA,NA,NA,CLA,Universitatea de Stiinte Agricole si Medicina Veterinara,Gradina Agrobotanica,NA,Herbarium,
1746,CLARK_NA,CLARK,NA,NA,NA,CLARK,Dr. Charles F. and Wilhelmina Husser Clark Herbarium,NA,NA,NA,
1747,CLCB_NA,CLCB,NA,NA,NA,CLCB,Laboratorul de Ecologie,Centrul de Cercetari Biologice,NA,Herbarium,
1748,CLD_NA,CLD,NA,NA,NA,CLD,Cleveland Literary and Philosophical Society,NA,NA,Herbarium,
1749,CLE_NA,CLE,NA,NA,NA,CLE,Tullie House Museum,NA,NA,Herbarium,
1750,CLEMS_NA,CLEMS,NA,NA,NA,CLEMS,Clemson University,NA,Biological Sciences Department,Herbarium,
1751,CLEY_NA,CLEY,NA,NA,NA,CLEY,Coastal Ecology Research Station,Institute of Terrestrial Ecology,NA,Herbarium,
1752,CLI_NA,CLI,NA,NA,NA,CLI,Literary and Philosophical Institution of Chatham,NA,NA,Herbarium,
1753,CLM_NA,CLM,NA,NA,NA,CLM,Cleveland Museum of Natural History,NA,Botany Department,Herbarium,
1754,CLOE_NA,CLOE,NA,NA,NA,CLOE,Clitheroe Castle Museum,NA,NA,Herbarium,
1755,CLP_NA,CLP,NA,NA,NA,CLP,Forest Products Research and Development Institute,NA,Department of Science and Technology,Herbarium,
1756,CLR_NA,CLR,NA,NA,NA,CLR,All Saint's Church,Museum of Natural History,Colchester Borough Council,Herbarium,
1757,CLU_NA,CLU,NA,NA,NA,CLU,Università della Calabria,Orto Botanico,NA,Erbario,
1758,CM_NA,CM,NA,NA,NA,CM,Carnegie Museum of Natural History,Section of Botany,NA,Herbarium,
1759,CMA_NA,CMA,NA,NA,NA,CMA,Crayford Manor House Adult Education Centre,London Borough of Bexley,NA,Herbarium,
1760,CMBG_NA,CMBG,NA,NA,NA,CMBG,Coastal Maine Botanical Gardens,NA,Research,Coastal Maine Botanical Gardens Herbarium,
1761,CMBY_NA,CMBY,NA,NA,NA,CMBY,Camberley Museum,NA,NA,Herbarium,
1762,CMC_NA,CMC,NA,NA,NA,CMC,Central Michigan University,NA,Department of Biology,Herbarium,
1763,CMMEX_NA,CMMEX,NA,NA,NA,CMMEX,Universidad Autónoma de Baja California,Facultad de Ciencias Marinas,NA,Herbario,
1764,CMMF_NA,CMMF,NA,NA,NA,CMMF,Jardin botanique de Montréal,NA,Cercle des Mycologues,Fungarium,
1765,CMMI_NA,CMMI,NA,NA,NA,CMMI,Chinese Academy of Traditional Medicine,Institute of Chinese Materia Medica,NA,Medicinal Herbarium,
1766,CMML_NA,CMML,NA,NA,NA,CMML,Colorado State University,Center for Environmental Management of Military Lands,NA,CEMML Herbarium,
1767,CMPR_NA,CMPR,NA,NA,NA,CMPR,Centre for Medicinal Plants Research,NA,NA,Herbarium,
1768,CMS_NA,CMS,NA,NA,NA,CMS,Christian Missionary Society College,NA,NA,Herbarium,
1769,CMU_NA,CMU,NA,NA,NA,CMU,Chiang Mai University,Faculty of Pharmacy,NA,Herbarium,
1770,CMUB_NA,CMUB,NA,NA,NA,CMUB,Chiang Mai University,Faculty of Science,Department of Biology,Herbarium,
1771,CMUH_NA,CMUH,NA,NA,NA,CMUH,Central Mindanao University,University Museum,NA,Herbarium,
1772,CMV_NA,CMV,NA,NA,NA,CMV,Centre Marie-Victorin,NA,NA,Herbarium,
1773,CMY_NA,CMY,NA,NA,NA,CMY,R. G. Kar Medical College,NA,Botany Department,Herbarium,
1774,CN_NA,CN,NA,NA,NA,CN,Université de Caen,Laboratoire de Biologie et Biotechnologies Marines (Equipe Phycologie),NA,Herbier,
1775,CNCTC_NA,CNCTC,NA,NA,NA,CNCTC,Czech National Collection of Type Cultures,National Institute of Public Health,NA,NA,
1776,CNE_NA,CNE,NA,NA,NA,CNE,Victoria Jubilee Museum,NA,NA,Herbarium,
1777,CNF_NA,CNF,NA,NA,NA,CNF,Croatian Mycological Society,NA,NA,Croatian National Fungarium,
1778,CNH_NA,CNH,NA,NA,NA,CNH,Çanakkale Onsekiz Mart University,"Faculty of Science and Arts, Terzioglu Campus",Biology Department,Herbarium,
1779,CNHM_NA,CNHM,NA,NA,NA,CNHM,Croatian Natural History Museum,NA,Botany Department,Herbarium,
1780,CNM_NA,CNM,NA,NA,NA,CNM,Cheltenham Naturalists' Association,NA,NA,Herbarium,
1781,CNPO_NA,CNPO,NA,NA,NA,CNPO,Embrapa Pecuária Sul,NA,Centro Nacional de Pesquisa em Ovinos Herbarium,NA,
1782,CNR_NA,CNR,NA,NA,NA,CNR,Crimean Natural Reserve,NA,NA,Herbarium,
1783,CNSF_NA,CNSF,NA,NA,NA,CNSF,Centre National de Semences Forestières,NA,Ministry of Forestry,Herbarium,
1784,CNU_NA,CNU,NA,NA,NA,CNU,Chonnam National University,NA,Department of Biology,NA,
1785,CNUK_NA,CNUK,NA,NA,NA,CNUK,Chungnam National University,NA,Department of Biology,Herbarium,
1786,CO_NA,CO,NA,NA,NA,CO,Muséum National d'Histoire Naturelle,NA,Department of Marine Biology,Herbier Crouan,
1787,COCAZ_NA,COCAZ,NA,NA,NA,COCAZ,Coconino National Forest Herbarium,NA,NA,Herbarium,
1788,COCH_NA,COCH,NA,NA,NA,COCH,Universidad Mayor de San Simón,NA,Departamento de Botánica,Herbario,
1789,COCO_NA,COCO,NA,NA,NA,COCO,Colorado College,NA,Organismal Biology & Ecology Department,The Carter Herbarium,
1790,COI_NA,COI,NA,NA,NA,COI,University of Coimbra,NA,Department of Life Sciences,Herbarium,
1791,COLG_NA,COLG,NA,NA,NA,COLG,Columbus State University,NA,Biology Department,Herbarium,
1792,COLOM_NA,COLOM,NA,NA,NA,COLOM,Colorado State Museum,NA,NA,Herbarium,
1793,CON_NA,CON,NA,NA,NA,CON,"Bristol, Clifton and West of England Zoological Society's Gardens",NA,NA,Herbarium,
1794,CONV_NA,CONV,NA,NA,NA,CONV,Converse College,NA,"Department of Biology, Chemistry, and Physics",Herbarium,
1795,COR_NA,COR,NA,NA,NA,COR,"Universidade Federal de Mato Grosso do Sul, Campus do Pantanal",CPAN,CBIO,Herbário,
1796,CORB_NA,CORB,NA,NA,NA,CORB,Corchester School,NA,NA,Herbarium,
1797,CORO_NA,CORO,NA,NA,NA,CORO,I.U.T.A.G.,NA,Departamento de Investigación,Herbario,
1798,CORT_NA,CORT,NA,NA,NA,CORT,State University of New York College at Cortland,NA,Biological Sciences Department,Herbarium,
1799,COV_NA,COV,NA,NA,NA,COV,Herbert Art Gallery and Museum,Natural History Section,NA,Herbarium,
1800,COVY_NA,COVY,NA,NA,NA,COVY,Coventry and District Natural History Society,NA,NA,Herbarium,
1801,CPAP_NA,CPAP,NA,NA,NA,CPAP,EMBRAPA,Centro de Pesquisas Agropecuárias do Pantanal,NA,Herbário,
1802,CPB_NA,CPB,NA,NA,NA,CPB,National Institute for the Control of Pharmaceutical and Biological Products,Museum of Traditional Chinese Drugs,NA,Herbarium,
1803,CPF_NA,CPF,NA,NA,NA,CPF,KwaZulu-Natal Nature Conservation Service,Biodiversity and Planning Research Division,NA,Donald Killick Herbarium,
1804,CPH_NA,CPH,NA,NA,NA,CPH,University of the Pacific,NA,Biological Sciences Department,Herbarium,
1805,CPNP_NA,CPNP,NA,NA,NA,CPNP,Cuc Phuong National Park,NA,NA,Herbarium,
1806,CPU_NA,CPU,NA,NA,NA,CPU,China Pharmaceutical University,NA,NA,Herbarium,
1807,CPUH_NA,CPUH,NA,NA,NA,CPUH,Career Point University Hamirpur,NA,NA,Herbarium Department of Bio-Sciences,
1808,CQBG_NA,CQBG,NA,NA,NA,CQBG,Chongqing Botanical Garden,NA,NA,Herbarium,
1809,CQNM_NA,CQNM,NA,NA,NA,CQNM,Chongqing Natural History Museum,NA,NA,Herbarium,
1810,CRAF_NA,CRAF,NA,NA,NA,CRAF,University of Craiova,NA,Phytopathology Department,Herbarium,
1811,CRBK_NA,CRBK,NA,NA,NA,CRBK,Cranbrook School,NA,NA,Herbarium,
1812,CRBY_NA,CRBY,NA,NA,NA,CRBY,Crosby Library,NA,NA,Herbarium,
1813,CRCA_NA,CRCA,NA,NA,NA,CRCA,Instituto dos Cereais,NA,NA,Herbário,
1814,CREG_NA,CREG,NA,NA,NA,CREG,Instituto Tecnológico Agropecuario de Jalisco,NA,NA,Herbario,
1815,CRK_NA,CRK,NA,NA,NA,CRK,University College,NA,Plant Science Department,Herbarium,
1816,CRLA_NA,CRLA,NA,NA,NA,CRLA,Crater Lake National Park,NA,Museum and Archives Collections,Herbarium,
1817,CRMC_NA,CRMC,NA,NA,NA,CRMC,College of the Redwoods,NA,Biological Sciences Department,Herbarium,
1818,CRO_NA,CRO,NA,NA,NA,CRO,Wellington College,Natural History Society Museum,NA,Herbarium,
1819,CRP_NA,CRP,NA,NA,NA,CRP,"I.N.T.A., E.E.A. Bariloche",Centro Regional Patagónico,NA,Herbario,
1820,CSAT_NA,CSAT,NA,NA,NA,CSAT,"Colegio de Postgraduados, Campus Tabasco",NA,NA,Herbario,
1821,CSAU_NA,CSAU,NA,NA,NA,CSAU,"Academy of Bioresources and Life Management, V.I. Vernadsky Crimean Federal University",NA,Department of Phytobiology,Herbarium CSAU,
1822,CSB_NA,CSB,NA,NA,NA,CSB,St. John's University/College of Saint Benedict,NA,c/o Biology Department,Bailey Herbarium,
1823,CSC_NA,CSC,NA,NA,NA,CSC,Colegio del Sagrado Corazón,NA,NA,Herbario,
1824,CSCN_NA,CSCN,NA,NA,NA,CSCN,Chadron State College,NA,NA,High Plains Herbarium,
1825,CSCS_NA,CSCS,NA,NA,NA,CSCS,Cebu State College of Science and Technology,College of Agriculture,Agricultural Biology Laboratory,Herbarium,
1826,CSFI_NA,CSFI,NA,NA,NA,CSFI,Central-South Forestry University,College of Forestry Resource & Environment,NA,Herbarium,
1827,CSH_NA,CSH,NA,NA,NA,CSH,Shanghai Chenshan Botanical Garden,NA,Information & Technology Department,Shanghai Chenshan Herbarium,
1828,CSPU_NA,CSPU,NA,NA,NA,CSPU,California State Polytechnic University,NA,Biological Sciences Department,Herbarium,
1829,CSR_NA,CSR,NA,NA,NA,CSR,Caucasus State Nature Biosphere Reserve,NA,NA,Maikop Branch Herbarium,
1830,CSRS_NA,CSRS,NA,NA,NA,CSRS,Centre Suisse de Recherches Scientifiques en Côte d’Ivoire,NA,NA,Herbier,
1831,CSU_NA,CSU,NA,NA,NA,CSU,University of Central Oklahoma,NA,Biology Department,Herbarium,
1832,CSUCI_NA,CSUCI,NA,NA,NA,CSUCI,California State University Channel Islands,NA,NA,CSU Channel Islands Herbarium,
1833,CSUH_NA,CSUH,NA,NA,NA,CSUH,Chelyabinsk State University,NA,Botanic Garden,Herbarium,
1834,CSUNIV_NA,CSUNIV,NA,NA,NA,CSUNIV,Charleston Southern University,NA,NA,Herbarium,
1835,CSVFC_NA,CSVFC,NA,NA,NA,CSVFC,Caradoc and Severn Valley Field Club,NA,NA,Herbarium,
1836,CT_NA,CT,NA,NA,NA,CT,University of Cape Town,NA,Botany Department,Guthrie Herbarium,
1837,CTBS_NA,CTBS,NA,NA,NA,CTBS,Universidade Federal de Santa Catarina,NA,NA,Herbário de Curitibanos,
1838,CTC_NA,CTC,NA,NA,NA,CTC,Chongqing Normal University,NA,NA,Biological Herbarium III,
1839,CTN_NA,CTN,NA,NA,NA,CTN,Free Library and Museum,NA,NA,Herbarium,
1840,CTS_NA,CTS,NA,NA,NA,CTS,Chongqing Teachers College,NA,NA,Herbarium,
1841,CTY_NA,CTY,NA,NA,NA,CTY,Canterbury Literary and Philosophical Institution,Museum,NA,Herbarium,
1842,CU_NA,CU,NA,NA,NA,CU,Cornell University,NA,NA,Wiegand Herbarium,
1843,CUFH_NA,CUFH,NA,NA,NA,CUFH,Cumhuriyet University,Faculty of Science and Literature,Biology Department,Herbarium,
1844,CUH_NA,CUH,NA,NA,NA,CUH,University of Calcutta,Taxonomy and Biosystematics,Department of Botany,Calcutta University Herbarium,
1845,CUHK_NA,CUHK,NA,NA,NA,CUHK,The Chinese University of Hong Kong,NA,School of Life Sciences,Shiu-Ying Hu Herbarium,
1846,CUK_NA,CUK,NA,NA,NA,CUK,Chosun University,NA,Life Science,Chosun University in Korea Herbarium,
1847,CUP_NA,CUP,NA,NA,NA,CUP,Cornell University,NA,Dept. of Plant Pathology and Plant-Microbe Biology,Plant Pathology Herbarium,
1848,CURLA_NA,CURLA,NA,NA,NA,CURLA,Centro Universitario Regional del Litoral Atlantico,NA,NA,Herbario,
1849,CUS_NA,CUS,NA,NA,NA,CUS,"Cusino Wildlife Research Station, Michigan Department of Natural Resources",NA,Natural Resources Department,Herbarium,
1850,CUW_NA,CUW,NA,NA,NA,CUW,Clark University,NA,Biology Department,Herbarium,
1851,CUZ_NA,CUZ,NA,NA,NA,CUZ,Universidad Nacional San Antonio Abad del Cusco,Facultad de Ciencias,Biologia,Herbario Vargas,
1852,CVCW_NA,CVCW,NA,NA,NA,CVCW,"Clinch Valley College, University of Virginia",NA,Biology Department,Herbarium,
1853,CVM_NA,CVM,NA,NA,NA,CVM,City Museum,NA,Natural History Department,Herbarium,
1854,CWB_NA,CWB,NA,NA,NA,CWB,Kharkov State University,Botanic Garden,NA,Herbarium,
1855,CWC_NA,CWC,NA,NA,NA,CWC,Central Wyoming College,NA,NA,Herbarium,
1856,CWDR_NA,CWDR,NA,NA,NA,CWDR,Cawdor Castle,NA,NA,Herbarium,
1857,CWU_NA,CWU,NA,NA,NA,CWU,V. N. Karazin National University,NA,NA,Herbarium,
1858,CYN_NA,CYN,NA,NA,NA,CYN,Chipstead Valley Primary School,Croydon Natural History and Scientific Society Limited,NA,Herbarium,
1859,CYP_NA,CYP,NA,NA,NA,CYP,Department of Forests,NA,NA,Herbarium,
1860,CZH_NA,CZH,NA,NA,NA,CZH,Hanshan Normal University,Department of Biology,NA,Herbarium,
1861,DACB_NA,DACB,NA,NA,NA,DACB,Bangladesh National Herbarium,NA,NA,Herbarium,
1862,DAG_NA,DAG,NA,NA,NA,DAG,Mountain Botanical Garden of the Dagestan Scientific Centre,NA,NA,Herbarium,
1863,DAKAR_NA,DAKAR,NA,NA,NA,DAKAR,Université Cheikh Anta Diop,Faculté des Sciences et Techniques,Département de Biologie Végétale,Herbier,
1864,DAL_NA,DAL,NA,NA,NA,DAL,Dalhousie University,NA,Biology Department,Herbarium,
1865,DANV_NA,DANV,NA,NA,NA,DANV,Umweltamt Darmstadt,Naturwissenschaftlicher Verein Darmstadt,NA,Herbarium,
1866,DAOM_NA,DAOM,NA,NA,NA,DAOM,Agriculture and Agri-Food Canada,Biodiversity and Collections,Ottawa Research and Development Centre,Canadian National Mycological Herbarium,
1867,DAR_NA,DAR,NA,NA,NA,DAR,NSW Plant Pathology and Mycology Herbarium,NA,Industry and Investment NSW,NA,
1868,DAS_NA,DAS,NA,NA,NA,DAS,Agriculture and Agri-Food Canada,Saskatoon Research Centre,NA,Herbarium,
1869,DAU_NA,DAU,NA,NA,NA,DAU,University of Daugavpils,Instotute of Life sciences and Technology,Laboratory of Botany,Herbarium,
1870,DAVFP_NA,DAVFP,NA,NA,NA,DAVFP,"Pacific Forestry Centre, Canadian Forest Service",Natural Resources Canada,NA,Herbarium,
1871,DAVH_NA,DAVH,NA,NA,NA,DAVH,University of California,NA,Environmental Horticulture Department,Herbarium,
1872,DAWES_NA,DAWES,NA,NA,NA,DAWES,The Dawes Arboretum,NA,NA,Herbarium,
1873,DBC_NA,DBC,NA,NA,NA,DBC,University College,NA,Botany Department,Herbarium,
1874,DBEV_NA,DBEV,NA,NA,NA,DBEV,University of Antananarivo,NA,Department of Biology and Plant Ecology,Herbarium,
1875,DBY_NA,DBY,NA,NA,NA,DBY,Derby Museum and Art Gallery,NA,NA,Herbarium,
1876,DCH_NA,DCH,NA,NA,NA,DCH,Davidson College,NA,Biology Department,Herbarium,
1877,DCR_NA,DCR,NA,NA,NA,DCR,Museum and Art Gallery,Doncaster Metropolitan Borough,NA,Herbarium,
1878,DD_NA,DD,NA,NA,NA,DD,"Forest Research Institute, Indian Council of Forestry Research and Education",Botany Division,Systematic Botany Discipline,Herbarium,
1879,DDMS_NA,DDMS,NA,NA,NA,DDMS,Fundação Universidade Federal da Grande Dourados,Faculdade de Ciências Biológicas e Ambientais.,NA,Herbário DDMS,
1880,DE_NA,DE,NA,NA,NA,DE,Debrecen University,Faculty of Science and Agriculture,Botany Department,Herbarium,
1881,DECA_NA,DECA,NA,NA,NA,DECA,Agnes Scott College,NA,Biology Department,Herbarium,
1882,DECV_NA,DECV,NA,NA,NA,DECV,Douglas Ecological Consultants,NA,NA,Herbarium,
1883,DEE_NA,DEE,NA,NA,NA,DEE,McManus: Dundee's Art Gallery & Museum,Leisure & Culture Dundee,The McManus Collections Unit,The Herbarium,
1884,DEK_NA,DEK,NA,NA,NA,DEK,Northern Illinois University,NA,Biological Sciences Department,Herbarium,
1885,DELS_NA,DELS,NA,NA,NA,DELS,University of Delaware,Society of Natural History of Delaware,Plant Science Department,Herbarium,
1886,DELTA_NA,DELTA,NA,NA,NA,DELTA,Delta Waterfowl and Wetlands Research Station,NA,NA,Herbarium,
1887,DEN_NA,DEN,NA,NA,NA,DEN,Denison University,NA,Biology Department,Herbarium,
1888,DENA_NA,DENA,NA,NA,NA,DENA,Watt Institute,Dundee Naturalists' Association,NA,Herbarium,
1889,DEND_NA,DEND,NA,NA,NA,DEND,University of Zagreb,Faculty of Forestry,"Department of Forest Genetics, Dendrology and Botany",Herbarium,
1890,DENF_NA,DENF,NA,NA,NA,DENF,"Grand Mesa-Uncompahgre-Gunnison Natonal Forests, USDA Forest Service",NA,NA,Herbarium,
1891,DERM_NA,DERM,NA,NA,NA,DERM,Intermountain Experiment Station,Desert Experimental Range,NA,Herbarium,
1892,NA_DES,NA,DES,NA,NA,DES,Desert Botanical Garden,NA,Research Department,Herbarium,
1893,DEV_NA,DEV,NA,NA,NA,DEV,St. Joseph's College,Centre for Taxonomic Studies,NA,Herbarium,
1894,DEVA_NA,DEVA,NA,NA,NA,DEVA,"Death Valley National Park, U.S. Department of the Interior, National Park Service",Resources Management Division,NA,Herbarium,
1895,DEWV_NA,DEWV,NA,NA,NA,DEWV,Davis and Elkins College,NA,Biology and Environmental Science Department,Herbarium,
1896,DFB_NA,DFB,NA,NA,NA,DFB,Daniel Brunton Private Herbarium,NA,NA,Herbarium,
1897,DFD_NA,DFD,NA,NA,NA,DFD,Dartford Borough Museum,NA,NA,Herbarium,
1898,DFEC_NA,DFEC,NA,NA,NA,DFEC,Desert Forestry Experimental Centre,Chinese Academy of Forestry,NA,Herbarium,
1899,DFS_NA,DFS,NA,NA,NA,DFS,Dumfries and Galloway Natural History and Antiquarian Society,NA,NA,Herbarium,
1900,DFSM_NA,DFSM,NA,NA,NA,DFSM,Dumfries Museum,The Observatory,NA,Herbarium,
1901,DGN_NA,DGN,NA,NA,NA,DGN,Darlington Museum,Borough of Darlington,NA,Herbarium,
1902,DGS_NA,DGS,NA,NA,NA,DGS,The Manx Museum,Manx National Heritage,NA,Herbarium,
1903,DGU_NA,DGU,NA,NA,NA,DGU,Daegu University,NA,NA,Herbarium,
1904,DH_NA,DH,NA,NA,NA,DH,Hobart and William Smith Colleges,NA,Biology Department,Herbarium,
1905,DHL_NA,DHL,NA,NA,NA,DHL,University of Louisville,NA,Biology Department,Davies Herbarium,
1906,DHM_NA,DHM,NA,NA,NA,DHM,University of Durham,NA,Botany Department,Herbarium,
1907,DHNS_NA,DHNS,NA,NA,NA,DHNS,Dunbartonshire Natural History Society,NA,NA,Herbarium,
1908,DI_NA,DI,NA,NA,NA,DI,Université de Bourgogne,NA,Laboratoire de Phytobiologie Cellulaire,Herbier,
1909,DIA_NA,DIA,NA,NA,NA,DIA,Museu do Dundo,NA,NA,Herbarium,
1910,DIAM_NA,DIAM,NA,NA,NA,DIAM,Universidade Federal dos Vales do Jequitinhonha e Mucuri,NA,Ciências Biológicas,Herbarium DIAM,
1911,DIN_NA,DIN,NA,NA,NA,DIN,Muséum National d'Histoire Naturelle,Laboratoire Maritime,NA,Herbier,
1912,DINH_NA,DINH,NA,NA,NA,DINH,Delta Institute of Natural History,NA,NA,Herbarium,
1913,DISKO_NA,DISKO,NA,NA,NA,DISKO,Danish Arctic Station,NA,NA,Herbarium,
1914,DKG_NA,DKG,NA,NA,NA,DKG,Juniper Hall Field Centre,Field Studies Council,NA,Herbarium,
1915,DLF_NA,DLF,NA,NA,NA,DLF,Stetson University,NA,Biology Department,Herbarium,
1916,DLU_NA,DLU,NA,NA,NA,DLU,Da Lat University,NA,Biology,Dalat University Herbarium,
1917,DLY_NA,DLY,NA,NA,NA,DLY,Dudley and Midland Geological and Scientific Society and Field Club,NA,NA,Herbarium,
1918,DMFS_NA,DMFS,NA,NA,NA,DMFS,Crichton Royal Institution Museum,NA,NA,Herbarium,
1919,DMHN_NA,DMHN,NA,NA,NA,DMHN,The University of Newcastle,School of Environmental and Life Sciences,NA,Don McNair Herbarium,
1920,DMNH_NA,DMNH,NA,NA,NA,DMNH,Dayton Museum of Natural History,NA,Biology Department,Herbarium,
1921,DMNS_NA,DMNS,NA,NA,NA,DMNS,Denver Museum of Nature and Science,Research and Collections Division,Zoology,Denver Museum of Nature & Science Herbarium,
1922,DMSC_NA,DMSC,NA,NA,NA,DMSC,Medicinal Plants Research Institute,NA,Department of Medical Sciences,Herbarium,
1923,DMTH_NA,DMTH,NA,NA,NA,DMTH,Britannia Royal Naval College,NA,NA,Herbarium,
1924,DMU_NA,DMU,NA,NA,NA,DMU,Mithila University,NA,Botany Department,Herbarium,
1925,DNAP_NA,DNAP,NA,NA,NA,DNAP,Department of Primary Industry and Resources,NA,Northern Territory Plant Pathology,Herbarium,
1926,DNHM_NA,DNHM,NA,NA,NA,DNHM,Dalian Museum of Natural History,NA,NA,Herbarium,
1927,DNS_NA,DNS,NA,NA,NA,DNS,Dundee Naturalists' Society,NA,NA,Herbarium,
1928,DNZ_NA,DNZ,NA,NA,NA,DNZ,Donetsk Botanical Garden,NA,NA,Herbarium,
1929,DO_NA,DO,NA,NA,NA,DO,Société d'Agriculture Sciences et Arts,NA,NA,Herbier,
1930,DOMO_NA,DOMO,NA,NA,NA,DOMO,Collegio Mellerio Rosmini,NA,NA,Erbario,
1931,DOR_NA,DOR,NA,NA,NA,DOR,Dorset County Museum,NA,NA,Herbarium,
1932,DORT_NA,DORT,NA,NA,NA,DORT,"Botanischer Garten Rombergpark, Stadt Dortmund",NA,NA,Herbarium,
1933,DOV_NA,DOV,NA,NA,NA,DOV,Delaware State University,NA,Department of Agriculture and Natural Resources,Claude E. Phillips Herbarium,
1934,DP_NA,DP,NA,NA,NA,DP,Daniel PELLÉ Herbarium,NA,NA,NA,
1935,DPU_NA,DPU,NA,NA,NA,DPU,DePauw University,NA,Botany and Bacteriology Department,Truman G. Yuncker Herbarium,
1936,DPUH_NA,DPUH,NA,NA,NA,DPUH,University of Duhok,NA,NA,Duhok University Herbarium,
1937,DQTC_NA,DQTC,NA,NA,NA,DQTC,Daqing Teachers College,NA,Biology Department,Herbarium,
1938,DR_NA,DR,NA,NA,NA,DR,Technische Universität Dresden,Institut für Botanik,NA,Herbarium,
1939,DRK_NA,DRK,NA,NA,NA,DRK,Drake University,NA,NA,Herbarium,
1940,DSC_NA,DSC,NA,NA,NA,DSC,Delta State University,NA,Biological Sciences Department,Herbarium,
1941,DSM_NA,DSM,NA,NA,NA,DSM,NA,NA,Botany Department,Herbarium,
1942,DSU_NA,DSU,NA,NA,NA,DSU,Oles Honchar Dniprovsky National University,NA,NA,Herbarium,
1943,DSUM_NA,DSUM,NA,NA,NA,DSUM,Dakota State University,NA,NA,Herbarium,
1944,DSY_NA,DSY,NA,NA,NA,DSY,Dewsbury Museum,Kirklees Metropolitan Council,NA,Herbarium,
1945,DTE_NA,DTE,NA,NA,NA,DTE,Centro de Investigaciones Científicas y Transferencia de Tecnología a la Producción (CICyTTP-CONICET),NA,NA,Herbarium,
1946,DTN_NA,DTN,NA,NA,NA,DTN,Darlington and Teesdale Naturalists' Field Club,NA,NA,Herbarium,
1947,DU_NA,DU,NA,NA,NA,DU,Damghan University,School of Biology and Institute of Biological Science,NA,Herbarium,
1948,DUB_NA,DUB,NA,NA,NA,DUB,National Botanic Gardens,NA,NA,Herbarium,
1949,DUBN_NA,DUBN,NA,NA,NA,DUBN,Dublin Naturalists' Field Club,NA,NA,Herbarium,
1950,DUE_NA,DUE,NA,NA,NA,DUE,University of Dundee,School of Biological Sciences,NA,Herbarium,
1951,DUF_NA,DUF,NA,NA,NA,DUF,University of Dicle,Faculty of Art and Sciences,"Biological Department, Botany",Herbarium,
1952,DUGAND_NA,DUGAND,NA,NA,NA,DUGAND,Universidad del Atlántico,Facultad de Ciencias Basicas,NA,DUGAND,
1953,DUH_NA,DUH,NA,NA,NA,DUH,University of Delhi,NA,Botany Department,Herbarium,
1954,DUIS_NA,DUIS,NA,NA,NA,DUIS,Universität Duisburg,Gesamthochschule,"Fachbereich 6, Botanik",Herbarium,
1955,DUL_NA,DUL,NA,NA,NA,DUL,University of Minnesota Duluth,NA,Biology Department,Olga Lakela Herbarium,
1956,DUOF_NA,DUOF,NA,NA,NA,DUOF,Düzce University,Faculty of Forestry,Department of Forest Botany,Herbarium,
1957,DUP_NA,DUP,NA,NA,NA,DUP,Dumlupinar University,Faculty of Science and Art,Department of Biology,Herbarium,
1958,DUR_NA,DUR,NA,NA,NA,DUR,Southeastern Oklahoma State University,NA,Biological Sciences Department,Herbarium,
1959,DUSS_NA,DUSS,NA,NA,NA,DUSS,Universität Düsseldorf,Botanisches Institut,NA,Herbarium,
1960,DVM_NA,DVM,NA,NA,NA,DVM,Diablo Valley College,NA,Biology Department,Herbarium,
1961,DVR_NA,DVR,NA,NA,NA,DVR,Dover Corporation Museum,NA,NA,Herbarium,
1962,DWC_NA,DWC,NA,NA,NA,DWC,West Chester University,NA,Biology Department,William Darlington Herbarium,
1963,DWN_NA,DWN,NA,NA,NA,DWN,Darwen Library,NA,NA,Herbarium,
1964,DWP_NA,DWP,NA,NA,NA,DWP,Disney Wilderness Preserve/The Nature Conservancy,NA,NA,Herbarium,
1965,DWU_NA,DWU,NA,NA,NA,DWU,Dakota Wesleyan University,NA,Biology Department,Herbarium,
1966,DZS_NA,DZS,NA,NA,NA,DZS,Devizes Museum,Wiltshire Archaeological and Natural History Society,NA,Herbarium,
1967,EA_NA,EA,NA,NA,NA,EA,National Museums of Kenya,NA,NA,East African Herbarium,
1968,EAA_NA,EAA,NA,NA,NA,EAA,Estonian University of Life Sciences,Institute of Agricultural and Environmental Sciences,NA,Mycological and phytopathological collection of E. Leppik,
1969,EAD_NA,EAD,NA,NA,NA,EAD,Environment Agency- Abu Dhabi,NA,NA,"Herbarium-Environment Agency, Abu Dhabi",
1970,EALA_NA,EALA,NA,NA,NA,EALA,Jardin Botanique d'Eala,NA,NA,Herbarium,
