order,collection.string,collectioncode.gbif,institutioncode.gbif,name,rightsholder,index.herbariorum.or.working.code,organization,branch,department,section,OBS
4169,TAL_NA,TAL,NA,NA,NA,TAL,Jardin botanique de Talence,NA,NA,Herbier,
4170,TALE_NA,TALE,NA,NA,NA,TALE,Laboratoire Géologique,Faculté des Sciences,NA,Herbier,
4171,TAMA_NA,TAMA,NA,NA,NA,TAMA,Medicinal Plant and Traditional Medicinal Medicine Researc and Development Center,National Institute of Health Research and Development,Ministry of Health,Herbarium Tawangmanguensis,
4172,TAMU_NA,TAMU,NA,NA,NA,TAMU,Texas A&M University,NA,Biology Department,Herbarium,
4173,TAMUCC_NA,TAMUCC,NA,NA,NA,TAMUCC,Texas A&M University-Corpus Christi,NA,Life Sciences,Ruth O’Brien Herbarium,
4174,TANE_NA,TANE,NA,NA,NA,TANE,Tanta University,Faculty of Science,Botany Department,Herbarium,
4175,TAR_NA,TAR,NA,NA,NA,TAR,"Consiglio Nazionale delle Ricerche, Istituto di Ricerca sulle Acque",Istituto Sperimentale Talassografico A. Cerruti,NA,Herbarium,
4176,TARI_NA,TARI,NA,NA,NA,TARI,Research Institute of Forests and Rangelands,NA,Botanical Department,Herbarium,
4177,TASH_NA,TASH,NA,NA,NA,TASH,"Academy of Science, Uzbekistan",Institute of Botany,NA,Central Herbarium of Uzbekistan,
4178,TASM_NA,TASM,NA,NA,NA,TASM,Uzbek Academy of Sciences,Institute of the Gene Pool of Plants and Animals,NA,Tashkent Mycological Herbarium,
4179,TAU_NA,TAU,NA,NA,NA,TAU,Aristotle University of Thessaloniki,Institute of Systematic Botany and Phytogeography,Biology Department,Herbarium,
4180,TAUF_NA,TAUF,NA,NA,NA,TAUF,Aristotle University of Thessaloniki,Laboratory of Forest Botany - Geobotany,NA,Herbarium,
4181,TAWES_NA,TAWES,NA,NA,NA,TAWES,Maryland Department of Natural Resources,NA,NA,Tawes Herbarium,
4182,TB_NA,TB,NA,NA,NA,TB,Tbilisi State University,NA,Botany Department,Herbarium,
4183,TBGT_NA,TBGT,NA,NA,NA,TBGT,Tropical Botanic Garden and Research Institute,NA,NA,Herbarium,
4184,TBI_NA,TBI,NA,NA,NA,TBI,"Institute of Botany, Ilia State University",NA,NA,National Herbarium of Georgia,
4185,TBIP_NA,TBIP,NA,NA,NA,TBIP,Research Institute of Plant Protection,NA,Agriculture and Life Sciences,Mycological Herbarium of Agricultural University of Georgia,
4186,TBPH_NA,TBPH,NA,NA,NA,TBPH,Iovel Kutateladze Institute of Pharmacochemistry,NA,Pharmacobotany,Herbarium,
4187,TBY_NA,TBY,NA,NA,NA,TBY,Tenby Museum,NA,NA,Herbarium,
4188,TCB_NA,TCB,NA,NA,NA,TCB,National Chung Hsing University,NA,Botany Department,Herbarium,
4189,TCD_NA,TCD,NA,NA,NA,TCD,Trinity College,School of Botany,NA,Herbarium,
4190,TCDL_NA,TCDL,NA,NA,NA,TCDL,Trinity College Dublin,NA,Manuscripts and Archives Research Library,NA,
4191,TCF_NA,TCF,NA,NA,NA,TCF,National Chung Hsing University,NA,Forestry Department,Herbarium,
4192,TCNJ_NA,TCNJ,NA,NA,NA,TCNJ,The College of New Jersey,NA,Department of Biology,Herbarium,
4193,TCSW_NA,TCSW,NA,NA,NA,TCSW,Texas Women's University,NA,"Department of Biology, GRB 324",Herbarium,
4194,TDH_NA,TDH,NA,NA,NA,TDH,Herbarium Teddy M. Dolstra ((Het Stellingwerfs Herbarium),NA,NA,NA,
4195,TDN_NA,TDN,NA,NA,NA,TDN,Todmorden Botanical Society,NA,NA,Herbarium,
4196,TDY_NA,TDY,NA,NA,NA,TDY,Tyldesley Natural History Society,NA,NA,Herbarium,
4197,TEA_NA,TEA,NA,NA,NA,TEA,"Tea Research Institute, Chinese Academy of Agricultural Sciences",NA,NA,Tea Herbarium,
4198,TEB_NA,TEB,NA,NA,NA,TEB,Teberda State Reserve,NA,NA,Herbarium,
4199,TECLA_NA,TECLA,NA,NA,NA,TECLA,Centro Nacional de Tecnologia Agropecuaria,NA,NA,Herbario,
4200,TEFH_NA,TEFH,NA,NA,NA,TEFH,Universidad Nacional Autónoma de Honduras,NA,Departamento de Biología,Cyril Hardy Nelson Sutherland Herbarium,
4201,TEH_NA,TEH,NA,NA,NA,TEH,University of Tehran,"College of Pharmacy, Medical Sciences",NA,Herbarium,
4202,TELA_NA,TELA,NA,NA,NA,TELA,Tel Aviv University,NA,Botany Department,Herbarium,
4203,TELY_NA,TELY,NA,NA,NA,TELY,Tate Library,London Borough of Lambeth,NA,Herbarium,
4204,TENHS_NA,TENHS,NA,NA,NA,TENHS,Toynbee Natural History Society,NA,NA,Herbarium,
4205,TENN_NA,TENN,NA,NA,NA,TENN,University of Tennessee,NA,Department of Ecology and Evolutionary Biology,Herbarium,
4206,TER_NA,TER,NA,NA,NA,TER,Indiana State University,NA,Department of Biology,Herbarium,
4207,TEU_NA,TEU,NA,NA,NA,TEU,Teikyo University,NA,Education Department,Herbarium,
4208,TEUI_NA,TEUI,NA,NA,NA,TEUI," U.S. Forest Service Southwest Region, Terrestrial Ecological Unit Inventory",NA,Tonto National Forest,Herbarium,
4209,TEXA_NA,TEXA,NA,NA,NA,TEXA,Blackland Experiment Station,NA,NA,Herbarium,
4210,TF_NA,TF,NA,NA,NA,TF,Forestry and Forest Products Research Institute,NA,NA,Herbarium,
4211,TFAV_NA,TFAV,NA,NA,NA,TFAV,Servicio Autonomo para el Desarrollo Ambiental del Estado Amazonas,Ministerio del Ambiente y de los Recursos Naturales Renovables,NA,Herbario Regional del Amazonas Venezolano Julián Steyermark,
4212,TFC_NA,TFC,NA,NA,NA,TFC,Universidad de La Laguna,NA,Servicio General de Apoyo a la Investigación (SEGAI),Herbarium TFC,
4213,TFD_NA,TFD,NA,NA,NA,TFD,Tanzania Forestry Research Institute,Silviculture Research Centre,NA,Herbarium,
4214,TFM_NA,TFM,NA,NA,NA,TFM,Forestry and Forest Products Research Institute,Forest Biology Division,NA,Herbarium of Forest Mycology and Pathology,
4215,TFMC_NA,TFMC,NA,NA,NA,TFMC,Museo de Ciencias Naturales,NA,Departamento de Botánica,Herbario,
4216,TGM_NA,TGM,NA,NA,NA,TGM,Georgian National Museum,NA,NA,Herbarium,
4217,TGU_NA,TGU,NA,NA,NA,TGU,University of Montenegro,Faculty of Sciences,NA,Herbarium,
4218,TH_NA,TH,NA,NA,NA,TH,University of Tokyo,Laboratory of Plant Biology,NA,Herbarium,
4219,THIB_NA,THIB,NA,NA,NA,THIB,Nicholls State University,NA,Department of Biological Sciences,Herbarium,
4220,THIM_NA,THIM,NA,NA,NA,THIM,National Biodiversity Centre,Ministry of Agriculture,NA,National Herbarium,
4221,THL_NA,THL,NA,NA,NA,THL,Grierson Museum,NA,NA,Herbarium,
4222,THO_NA,THO,NA,NA,NA,THO,Robert Dick Herbarium,NA,NA,NA,
4223,THRI_NA,THRI,NA,NA,NA,THRI,"Sequoia and Kings Canyon National Parks, U.S. Department of the Interior, National Park Service",NA,NA,Ash Mountain Herbarium,
4224,THS_NA,THS,NA,NA,NA,THS,Tsumura Laboratory,NA,NA,Herbarium,
4225,TIC_NA,TIC,NA,NA,NA,TIC,California Department of Fish and Game,Marine Resources Operations,NA,Herbarium,
4226,TIE_NA,TIE,NA,NA,NA,TIE,Tianjin Natural History Museum,NA,Botany Department,Herbarium,
4227,TIK_NA,TIK,NA,NA,NA,TIK,Agricultural Research Centre,NA,Plant Pathology Department,Herbarium,
4228,TIPR_NA,TIPR,NA,NA,NA,TIPR,Institute of Pharmaceutical Research,State Pharmaceutical Administration,NA,Medicinal Herbarium,
4229,TJDC_NA,TJDC,NA,NA,NA,TJDC,Tianjin Municipal Institute for Drug Control,NA,Department of Traditional Chinese Medicine,Medicinal Herbarium,
4230,TJMP_NA,TJMP,NA,NA,NA,TJMP,Tianjin Institute of Medical and Pharmaceutical Sciences,NA,NA,Medicinal Herbarium,
4231,TK_NA,TK,NA,NA,NA,TK,Tomsk State University,NA,Biological Institute,P. N. Krylov Herbarium,
4232,TKB_NA,TKB,NA,NA,NA,TKB,University of Tsukuba,Institute of Biological Sciences,NA,Herbarium,
4233,TKNM_NA,TKNM,NA,NA,NA,TKNM,Twickenham Girls' School,NA,NA,Herbarium,
4234,TKU_NA,TKU,NA,NA,NA,TKU,Tokyo Kyoiku University,NA,NA,Herbarium,
4235,TL_NA,TL,NA,NA,NA,TL,Université Paul Sabatier,NA,Service commun d'études et de conservation des collections patrimoniales,Herbier,
4236,TLA_NA,TLA,NA,NA,NA,TLA,École Nationale Supérieure Agronomique,Laboratoire de Cytologie et Pathologie Végétales,NA,Herbier,
4237,TLF_NA,TLF,NA,NA,NA,TLF,Université Paul Sabatier,Laboratoire de Botanique et Forestier,NA,Herbier,
4238,TLJ_NA,TLJ,NA,NA,NA,TLJ,Université Paul Sabatier,Laboratoire de Biologie Végétale,NA,Herbier,
4239,TLM_NA,TLM,NA,NA,NA,TLM,Muséum d'Histoire Naturelle de Toulouse,NA,NA,Herbier,
4240,TLON_NA,TLON,NA,NA,NA,TLON,Muséum d'histoire naturelle de Toulon et du Var,NA,NA,Herbier,
4241,TLP_NA,TLP,NA,NA,NA,TLP,Faculté de Médecine,NA,Chaire de Botanique,Herbier,
4242,TLS_NA,TLS,NA,NA,NA,TLS,Tunbridge Wells Museum and Art Gallery,NA,NA,Herbarium,
4243,TLU_NA,TLU,NA,NA,NA,TLU,Texas Lutheran University,NA,NA,Texas Lutheran University Herbarium,
4244,TLXM_NA,TLXM,NA,NA,NA,TLXM,Universidad Autónoma de Tlaxcala,Centro de Investigaciónes en Ciencias Biológicas,NA,Herbario,
4245,TM_NA,TM,NA,NA,NA,TM,Slovak National Museum,NA,NA,NA,
4246,TMAL_NA,TMAL,NA,NA,NA,TMAL,Tameside Metropolitan Borough Museum,NA,NA,Herbarium,
4247,TMI_NA,TMI,NA,NA,NA,TMI,Tottori Mycological Institute,NA,NA,Herbarium,
4248,TMN_NA,TMN,NA,NA,NA,TMN,"Institute of the Problems of Northern Development, SB RAS",NA,NA,Herbarium,
4249,TMP_NA,TMP,NA,NA,NA,TMP,Tampere Museums,NA,NA,Herbarium,
4250,TMRC_NA,TMRC,NA,NA,NA,TMRC,Shahid Beheshti University of Medical Sciences,NA,Traditional Medicine & Materia Medica Research Center,Herbarium,
4251,TNFC_NA,TNFC,NA,NA,NA,TNFC,Tynside Naturalists' Field Club,NA,NA,Herbarium,
4252,TNFS_NA,TNFS,NA,NA,NA,TNFS,"USDA Forest Service, Alaska Region",NA,NA,Herbarium,
4253,TNM_NA,TNM,NA,NA,NA,TNM,National Museum of Natural Science,NA,Botany Department,Herbarium,
4254,TNP_NA,TNP,NA,NA,NA,TNP,Museum of Tatra National Park,NA,NA,Herbarium,
4255,TNU_NA,TNU,NA,NA,NA,TNU,National Taiwan Normal University,NA,Biology Department,Herbarium,
4256,TOD_NA,TOD,NA,NA,NA,TOD,Todmorden Free Library,NA,NA,Herbarium,
4257,TOFO_NA,TOFO,NA,NA,NA,TOFO,University of Tokyo,University Museum,Section of Forest Botany,Herbarium,
4258,TOGO_NA,TOGO,NA,NA,NA,TOGO,Université du Lomé,Faculté des Sciences,Laboratoire de Botanique et Ecologie Végétale,Herbier,
4259,TOGR_NA,TOGR,NA,NA,NA,TOGR,Museo di Storia Naturale Don Bosco,NA,NA,Erbario,
4260,TOHO_NA,TOHO,NA,NA,NA,TOHO,Toho University,School of Pharmaceutical Science,NA,Herbarium,
4261,TOKE_NA,TOKE,NA,NA,NA,TOKE,Tokyo University of Education,NA,NA,Herbarium,
4262,TOLI_NA,TOLI,NA,NA,NA,TOLI,Universidad del Tolima,NA,Departamento de Biología,Herbario,
4263,TOM_NA,TOM,NA,NA,NA,TOM,Istituto Missioni Consolata,NA,NA,Erbario,
4264,TON_NA,TON,NA,NA,NA,TON,"Ministry of Agriculture and Food, Forestry and Fisheries",Vaini Research Station,NA,Tonga National Herbarium,
4265,TONG_NA,TONG,NA,NA,NA,TONG,Tonghua Teachers College,NA,Biology Department,Herbarium,
4266,TOR_NA,TOR,NA,NA,NA,TOR,Torquay Museum,NA,NA,Herbarium,
4267,TOU_NA,TOU,NA,NA,NA,TOU,University of Tours,Faculty of Pharmacy,NA,Herbier Tourlet,
4268,TPV_NA,TPV,NA,NA,NA,TPV,Prairie View A & M University,NA,Biology Department,Herbarium,
4269,TR_NA,TR,NA,NA,NA,TR,MUSE - Museo delle Scienze,NA,Botany dep.,Herbarium Tridentinum,
4270,TRA_NA,TRA,NA,NA,NA,TRA,American Plant Life Society,NA,NA,Traub Herbarium,
4271,TRD_NA,TRD,NA,NA,NA,TRD,Ancient House Museum,NA,NA,Herbarium,
4272,TRE_NA,TRE,NA,NA,NA,TRE,Trencianske muzeum,NA,Scientific Department,Herbarium,
4273,TRES_NA,TRES,NA,NA,NA,TRES,Tresco Abbey,NA,NA,Herbarium,
4274,TRIN_NA,TRIN,NA,NA,NA,TRIN,The National Herbarium of Trinidad and Tobago,NA,NA,NA,
4275,TRM_NA,TRM,NA,NA,NA,TRM,Vlastivedné muzeum Trutnov,NA,NA,Herbarium,
4276,TRN_NA,TRN,NA,NA,NA,TRN,Nicolaus Copernicus University,Faculty of Biology and Environment Protection,NA,Herbarium,
4277,TRO_NA,TRO,NA,NA,NA,TRO,Royal Horticultural Society of Cornwall,NA,NA,Herbarium,
4278,TROY_NA,TROY,NA,NA,NA,TROY,Troy University,College of Arts and Sciences,Department of Biological and Environmental Sciences,Herbarium,
4279,TRPM_NA,TRPM,NA,NA,NA,TRPM,Tottori Prefectural Museum,NA,Department of Natural History,Herbarium,
4280,TRTC_NA,TRTC,NA,NA,NA,TRTC,Royal Ontario Museum,NA,Department of Natural History,Mycology Herbarium,
4281,TRTE_NA,TRTE,NA,NA,NA,TRTE,"Erindale College, University of Toronto",NA,Department of Biology,Herbarium,
4282,TRTS_NA,TRTS,NA,NA,NA,TRTS,"Scarborough College, University of Toronto",NA,Botany Department,Herbarium,
4283,TRU_NA,TRU,NA,NA,NA,TRU,Royal Cornwall Museum,NA,NA,Herbarium,
4284,TRV_NA,TRV,NA,NA,NA,TRV,Transvaal Museum,NA,NA,Herbarium,
4285,TS_NA,TS,NA,NA,NA,TS,National University of Shandong,NA,Biology Department,Herbarium,
4286,TSB_NA,TSB,NA,NA,NA,TSB,Department of Life Sciences,NA,NA,Erbario,
4287,TSH_NA,TSH,NA,NA,NA,TSH,University of Tsukuba,NA,Faculty of Life and Environmental Sciences,Mycological Herbarium,
4288,TSM_NA,TSM,NA,NA,NA,TSM,Museo Civico di Storia Naturale,NA,NA,Erbario,
4289,TSTN_NA,TSTN,NA,NA,NA,TSTN,Troston Hall,NA,NA,Herbarium,
4290,TSU_NA,TSU,NA,NA,NA,TSU,Mie University,Graduate school of Bioresources,NA,Herbarium,
4291,TTC_NA,TTC,NA,NA,NA,TTC,Texas Tech University,NA,Biological Sciences Department,E. L. Reed Herbarium,
4292,TTM_NA,TTM,NA,NA,NA,TTM,Thai Traditional Medicine Research Institute,Thai Traditional Medicine Research Institute,Department of Thai Traditional and Alternative Medicine,Thai Traditional Medicine Herbarium,
4293,TTN_NA,TTN,NA,NA,NA,TTN,South West Heritage Trust,NA,NA,Somerset County Herbarium,
4294,TTRS_NA,TTRS,NA,NA,NA,TTRS,Tall Timbers Research Station,NA,Fire Ecology Laboratory,Herbarium,
4295,TTY_NA,TTY,NA,NA,NA,TTY,Westonbirt School,NA,NA,Herbarium,
4296,TUAT_NA,TUAT,NA,NA,NA,TUAT,Tokyo University of Agriculture,Museum,NA,Herbarium,
4297,TUC_NA,TUC,NA,NA,NA,TUC,University of Arizona,NA,Ecology and Evolutionary Biology Department,Herbarium,
4298,TUCH_NA,TUCH,NA,NA,NA,TUCH,Tribhuvan University,NA,Central Department of Botany,Herbarium,
4299,TUFT_NA,TUFT,NA,NA,NA,TUFT,Tufts University,NA,Biology Department,Phippen-LaCroix Herbarium,
4300,TUH_NA,TUH,NA,NA,NA,TUH,Tehran University,"School of Biology, College of Science",Department of Botany,Central Herbarium,
4301,TULS_NA,TULS,NA,NA,NA,TULS,University of Tulsa,Faculty of Natural Sciences,NA,Barclay Herbarium,
4302,TUM_NA,TUM,NA,NA,NA,TUM,Technische Universität München,NA,NA,Herbarium,
4303,TUMH_NA,TUMH,NA,NA,NA,TUMH,Tottori University,Faculty of Agriculture,Fungus/Mushroom Resource and Research Center,Herbarium,
4304,TUN_NA,TUN,NA,NA,NA,TUN,Université de Tunis,Faculté des Sciences,Laboratoire de Biologie Végétale,Herbarium,
4305,TUNG_NA,TUNG,NA,NA,NA,TUNG,Tunghai University,NA,Life Science Department,Herbarium,
4306,TUP_NA,TUP,NA,NA,NA,TUP,Trent University,NA,Biology Department,Herbarium,
4307,TUR_NA,TUR,NA,NA,NA,TUR,University of Turku,Centre for Biodiversity,NA,Herbarium,
4308,TURA_NA,TURA,NA,NA,NA,TURA,Åbo Akademi University,NA,Biology Department,Herbarium,
4309,TURP_NA,TURP,NA,NA,NA,TURP,Turpan Eremophytes Botanical Garden,NA,NA,Herbarium,
4310,TUS_NA,TUS,NA,NA,NA,TUS,Tohoku University,NA,Botanical Gardens,Herbarium,
4311,TUSG_NA,TUSG,NA,NA,NA,TUSG,Tohoku University,Botanical Garden,NA,Herbarium,
4312,TUT_NA,TUT,NA,NA,NA,TUT,Daejeon University,NA,Department of Biology,Herbarium,
4313,TVBG_NA,TVBG,NA,NA,NA,TVBG,Tver State University,Botanical Garden,NA,Herbarium,
4314,TVY_NA,TVY,NA,NA,NA,TVY,Turvey Abbey,NA,NA,Herbarium,
4315,TY_NA,TY,NA,NA,NA,TY,Shanxi College of Traditional Chinese Medicine,NA,NA,Herbarium,
4316,TYF_NA,TYF,NA,NA,NA,TYF,Shangxi Forestry Institute,NA,NA,Herbarium,
4317,TYM_NA,TYM,NA,NA,NA,TYM,Botanic Gardens of Toyama,NA,NA,Herbarium,
4318,TYNUB_NA,TYNUB,NA,NA,NA,TYNUB,Taiyuan Normal University,NA,Department of Biology,Herbarium,
4319,UAAH_NA,UAAH,NA,NA,NA,UAAH,University of Alaska Anchorage,NA,Department of Biological Sciences,Herbarium,
4320,UAC_NA,UAC,NA,NA,NA,UAC,University of Calgary,NA,Department of Biological Sciences,Herbarium,
4321,UADBG_NA,UADBG,NA,NA,NA,UADBG,University of Alberta Botanic Garden,NA,NA,University of Alberta Botanic Garden Herbarium,
4322,UAGC_NA,UAGC,NA,NA,NA,UAGC,Universidad Autónoma de Guerrero,Instituto de Investigación Científica,Area de Ciencias Naturales,Herbario,
